slug,canonical_name,current_add,operational_notation,entry_surface,entry_specificity,terminal_surface,terminal_kind,terminal_relation,variable_at,dex_count,family,base_trick,category,modifier_links,operator_classes,foot_tracking_straightforward,ambiguity_note
2_bag_juggling,2 bag juggling,2,TOE [DEL] > TOE [DEL],TOE,TOE,TOE,DELAY,SIDE_NOT_APPLICABLE,,0,2_bag_juggling,2_bag_juggling,multi-bag,,,no,multi-object boundary primitive; no single terminal foot
3_bag_juggling,3 bag juggling,3,TOE [DEL] > TOE [DEL] > TOE [DEL],TOE,TOE,TOE,DELAY,SIDE_NOT_APPLICABLE,,0,3_bag_juggling,3_bag_juggling,multi-bag,,,no,multi-object boundary primitive; no single terminal foot
aeon_flux,aeon flux,5,CLIP > SAME OUT [DEX] [PDX] >> (front) SPIN [BOD] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,1,osis,osis,compound,,,yes,
anoxia,anoxia,6,CLIP >> (back) SPIN [BOD] > DUCK [BOD] >> (no plant while) OP IN [DEX] [PDX] [BOD] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,PRESERVE,,1,mirage,paradox_symposium_mirage,compound,,,yes,
archnemesis,archnemesis,6,CLIP > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,4,down_double_down,down_double_down,compound,furious,set,yes,
armageddon,armageddon,6,CLIP > SAME IN [PDX] [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > SAME TOE [DEL],CLIP,CLIP,TOE,DELAY,PRESERVE,,3,legover,eggbeater,compound,paradox|symposium,body,yes,
around_the_world,around the world,2,TOE > SAME IN [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,1,around_the_world,around_the_world,dex,,,yes,
around_the_world_heel,around the world heel,3,TOE > SAME IN [DEX] > SAME HEEL [UNS] [DEL],TOE,TOE,HEEL,DELAY,PRESERVE,,1,around_the_world,around_the_world,compound,,,yes,
around_the_world_kick,around the world kick,1,TOE > SAME IN [DEX] [KICK],TOE,TOE,IN,KICK,PRESERVE,,1,around_the_world_kick,around_the_world,dex,,,yes,
assassin,assassin,4,TOE > SAME IN [DEX] >> DUCK [BOD] >> OP IN [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,2,mirage,mirage,compound,pixie|ducking,body|set,yes,
assassin_same_side,assassin same side,4,TOE > SAME IN [DEX] >> DUCK [BOD] >> SAME IN [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,mirage,assassin,compound,,,yes,
atom_bomb,atom bomb,6,TOE > (no plant while) OP OUT [DEX] [BOD] >> (no plant while) OP IN [DEX] [XDEX] [BOD] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,mirage,symposium_mirage,compound,,,yes,
atom_smasher,atom smasher,4,TOE > OP OUT [DEX] > OP IN [DEX] [XDEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,mirage,mirage,compound,,,yes,
atomic_barrage,atomic barrage,4,TOE > OP OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,3,barrage,barrage,compound,atomic,set,yes,
atomic_blender,atomic blender,5,TOE > OP OUT [DEX] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,2,osis,blender,compound,atomic,set,yes,
atomic_butterfly,atomic butterfly,4,TOE > OP OUT [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,butterfly,butterfly,compound,atomic,set,yes,
atomic_clipper,atomic clipper,3,TOE > OP OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,1,clipper_stall,clipper_stall,compound,,,yes,
atomic_drifter,atomic drifter,4,TOE > OP OUT [DEX] > OP IN [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,2,drifter,drifter,compound,atomic,set,yes,
