canonical_slug,family_anchor,wave_alpha_score,score_reasons,raw_source_count,doctrine_divergence_tier,parser_status,best_notation,best_notation_source,best_notation_convention,all_notation_candidates
symposium-eggbeater,eggbeater,6,"fborg-bracket,single-modifier,doctrine-quiet,parser-clean",6,none,parser-clean,SET > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > SAME TOE [DEL],fborg,canonical_brackets,fborg=SET > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > S; fm=symposium(+1) + eggbeater(3) --> 4 ADDs; stanford=Z.-!0-0+Z
stepping-eggbeater,eggbeater,5,"fborg-bracket,single-modifier,doctrine-quiet",4,none,no-stanford,CLIP > OP IN [DEX] (plant) > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],fborg,canonical_brackets,fborg=CLIP > OP IN [DEX] (plant) > SAME OUT [DEX] > OP OUT [DEX] >; fm=CLIP > OP IN [DEX] (plant) > SAME OUT [DEX] > OP OUT [DEX] >
fairy-eggbeater,eggbeater,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",5,none,parser-clean,Z+0.-0-0+Z,stanford,stanford_shorthand,stanford=Z+0.-0-0+Z
pixie-eggbeater,eggbeater,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,Z+1.-0-0+Z,stanford,stanford_shorthand,stanford=Z+1.-0-0+Z
paradox-illusion,illusion,6,"fborg-bracket,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,CLIP > SAME OUT [PDX[DEX] > OP TOE [DEL],fborg,canonical_brackets,fborg=CLIP > SAME OUT [PDX[DEX] > OP TOE [DEL]; fm=CLIP > SAME OUT [PDX[DEX] > OP TOE [DEL]; stanford=X.+0-Z
atomic-illusion,illusion,5,"fborg-bracket,single-modifier,parser-clean",5,small,parser-clean,TOE > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],fborg,canonical_brackets,fborg=TOE > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL]; stanford=Z-0.-0-Z
quantum-illusion,illusion,5,"fborg-bracket,single-modifier,doctrine-quiet",4,none,no-stanford,TOE > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL],fborg,canonical_brackets,fborg=TOE > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL]
tapping-illusion,illusion,5,"fborg-bracket,single-modifier,doctrine-quiet",4,none,no-stanford,TOE > OP OUT [DEX] (plant) > SAME OUT [DEX] > OP TOE [DEL],fborg,canonical_brackets,fborg=TOE > OP OUT [DEX] (plant) > SAME OUT [DEX] > OP TOE [DEL]; fm=TOE > OP OUT [DEX] (plant) > SAME OUT [DEX] > OP TOE [DEL]
ducking-illusion,illusion,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,Z^-0-Z,stanford,stanford_shorthand,stanford=Z^-0-Z
nuclear-illusion,illusion,3,"stanford-only,single-modifier,parser-clean",4,small,parser-clean,X+0.-0-Z,stanford,stanford_shorthand,stanford=X+0.-0-Z
fairy-legover,legover,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",5,none,parser-clean,Z+0.-0+Z,stanford,stanford_shorthand,stanford=Z+0.-0+Z
ducking-legover,legover,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,Z^-0+Z,stanford,stanford_shorthand,stanford=Z^-0+Z
nuclear-legover,legover,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,X+0.-0+Z,stanford,stanford_shorthand,stanford=X+0.-0+Z
pixie-legover,legover,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,Z+1.-0+Z,stanford,stanford_shorthand,stanford=Z+1.-0+Z
quantum-mirage,mirage,5,"fborg-bracket,single-modifier,doctrine-quiet",4,none,no-stanford,TOE > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL],fborg,canonical_brackets,fborg=TOE > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL]
ducking-mirage,mirage,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,Z^-1-Z,stanford,stanford_shorthand,fborg=ducking(+1) + mirage(2) --> 3 ADDs; fm=ducking(+1) + mirage(2) --> 3 ADDs; stanford=Z^-1-Z
pixie-symposium-mirage,mirage,3,"fborg-bracket,multi-modifier-deep-compound,doctrine-quiet,parser-clean",5,none,parser-clean,TOE > SAME IN [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],fborg,canonical_brackets,fborg=TOE > SAME IN [DEX] > (no plant while) OP IN [BOD] [DEX] > O; stanford=Z+1.-!1-Z
atomic-osis,osis,6,"fborg-bracket,single-modifier,doctrine-quiet,parser-clean",5,none,parser-clean,TOE > OP OUT [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL],fborg,canonical_brackets,fborg=TOE > OP OUT [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL; stanford=Z-0./-X
pixie-osis,osis,5,"fm-parens-needs-translate,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,Toe > Same In (DEX) >> (front) Spin (BOD) > Op Clip (XBD)(DEL),fm,fm_parens,fm=Toe > Same In (DEX) >> (front) Spin (BOD) > Op Clip (XBD)(DE; stanford=Z+1./-X
inspinning-osis,osis,3,"stanford-only,single-modifier,parser-clean",4,small,parser-clean,X.//+X,stanford,stanford_shorthand,stanford=X.//+X
double-pickup,pickup,6,"fborg-bracket,single-modifier,doctrine-quiet,parser-clean",5,none,parser-clean,CLIP > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],fborg,canonical_brackets,fborg=CLIP > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL]; fm=CLIP > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL]; stanford=*.-1+1+Z
spinning-pickup,pickup,6,"fborg-bracket,single-modifier,doctrine-quiet,parser-clean",5,none,parser-clean,CLIP > (back) SPIN [BOD] > OP IN [DEX] > SAME TOE [DEL],fborg,canonical_brackets,fborg=CLIP > (back) SPIN [BOD] > OP IN [DEX] > SAME TOE [DEL]; fm=spinning(+1) + pickup(2) --> 3 ADDs; stanford=X.\-1+Z
ducking-pickup,pickup,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,Z^-1+Z,stanford,stanford_shorthand,stanford=Z^-1+Z
fairy-pickup,pickup,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,Z+0.-1+Z,stanford,stanford_shorthand,stanford=Z+0.-1+Z
nuclear-pickup,pickup,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,X+0.-1+Z,stanford,stanford_shorthand,stanford=X+0.-1+Z
pixie-pickup,pickup,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",4,none,parser-clean,Z+1.-1+Z,stanford,stanford_shorthand,stanford=Z+1.-1+Z
nuclear-whirl,whirl,5,"fborg-bracket,single-modifier,parser-clean",4,small,parser-clean,CLIP > SAME OUT [PDX] [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],fborg,canonical_brackets,fborg=CLIP > SAME OUT [PDX] [DEX] > OP IN [DEX] > OP CLIP [XBD] [D; fm=CLIP > SAME OUT [PDX] [DEX] > OP IN [DEX] > OP CLIP [XBD] [D; stanford=X+0.-1-X
quantum-whirl,whirl,5,"fborg-bracket,single-modifier,parser-clean",4,small,parser-clean,TOE > OP IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],fborg,canonical_brackets,fborg=TOE > OP IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL]; fm=TOE > OP IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL]; stanford=Z-1.-1-X
pixie-whirl,whirl,4,"stanford-only,single-modifier,doctrine-quiet,parser-clean",5,none,parser-clean,Z+1.-1-X,stanford,stanford_shorthand,fborg=pixie(+1) + whirl(3) --> 4 ADDs; fm=pixie(+1) + whirl(3) --> 4 ADDs; stanford=Z+1.-1-X
