"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Atomic DLO","atomic-dlo","3 Observationally represented","A","footbagmoves","atomic|dlo-double-down","","full","","none",""
"Atomic Drifter","atomic-drifter","3 Observationally represented","A","footbagmoves","atomic","","full","","none",""
"Atomic Legover (same side)","atomic-legover","3 Observationally represented","A","footbagmoves","atomic","","full","","none",""
"Atomic Pickup (same side)","atomic-pickup","3 Observationally represented","A","multi","atomic","","full","","none",""
"Atomic ss Osis","atomic-ss-osis","3 Observationally represented","A","footbagmoves","atomic","","full","","none",""
"Atomotion","atomotion","3 Observationally represented","A","footbagmoves","atomic","","full","","high",""
"Double Spinning Rake","double-spinning-rake","3 Observationally represented","A","footbagmoves","spinning|dragon-rake","","full","","none",""
"Dragonstein","dragonstein","3 Observationally represented","A","footbagmoves","dragon-rake","","full","","medium",""
"DSO","dso","3 Observationally represented","A","passback","dlo-double-down","","full","","none",""
"Ducking Pdx Illusion","ducking-pdx-illusion","3 Observationally represented","A","footbagmoves","ducking","","full","","none",""
"Ducking Pdx Mirage","ducking-pdx-mirage","3 Observationally represented","A","footbagmoves","ducking","","full","","none",""
"Ducking Pdx Torque","ducking-pdx-torque","3 Observationally represented","A","passback","ducking|blender-torque","","full","","none",""
"Ducking PS Illusion","ducking-ps-illusion","3 Observationally represented","A","footbagmoves","ducking","","full","","none",""
"Ducking PS Mirage","ducking-ps-mirage","3 Observationally represented","A","footbagmoves","ducking","","full","","none",""
"Fairy Beater","fairy-beater","3 Observationally represented","A","footbagmoves","fairy","","full","","high",""
"Fairy DLO (ss)","fairy-dlo","3 Observationally represented","A","passback","fairy|dlo-double-down","","full","","none",""
"Fairy Illusion (same side)","fairy-illusion","3 Observationally represented","A","footbagmoves","fairy","","full","","none",""
"Fairy ss Osis","fairy-ss-osis","3 Observationally represented","A","footbagmoves","fairy","","full","","high",""
"Fairy Tale","fairy-tale","3 Observationally represented","A","footbagmoves","fairy","","full","","high",""
"Fairy Torque (same side)","fairy-torque","3 Observationally represented","A","footbagmoves","fairy|blender-torque","","full","","none",""
"Far Reverse Whirl","far-reverse-whirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","none",""
"Gyro Clipper","gyro-clipper","3 Observationally represented","A","footbagmoves","gyro-spyro","","full","","none",""
"Gyro Symp Swirl","gyro-symp-swirl","3 Observationally represented","A","passback","gyro-spyro|whirl-swirl","","full","","none",""
"Gyro Toe","gyro-toe","3 Observationally represented","A","passback","gyro-spyro","","full","","none",""
"Infinity Swirl","infinity-swirl","3 Observationally represented","A","passback","whirl-swirl","","full","","none",""
"Nemesis Swirl","nemesis-swirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","none",""
"Paradox Symposium Whirling Rake","paradox-symposium-whirling-rake","3 Observationally represented","C","footbagmoves","symposium|whirl-swirl|dragon-rake|paradox","","full","","none",""
"Paradox Whirling Rake","paradox-whirling-rake","3 Observationally represented","A","footbagmoves","whirl-swirl|dragon-rake|paradox","","full","","none",""
"Pdx DLO","pdx-dlo","3 Observationally represented","A","footbagmoves","dlo-double-down","","full","","none",""
"Pdx Whirling Swirl","pdx-whirling-swirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","none",""
"Pixie Double Pickup (ss)","pixie-double-pickup","3 Observationally represented","C","passback","pixie","","full","","none",""
"Pixie DSO","pixie-dso","3 Observationally represented","A","passback","pixie|dlo-double-down","","full","","none",""
"Pixie Same Side Illusion","pixie-same-side-illusion","3 Observationally represented","A","fborg","pixie","","full","candidate","","medium"
"Rail Warrior","rail-warrior","3 Observationally represented","A","footbagmoves","rail-rooted","","full","","high",""
"Raildown","raildown","3 Observationally represented","A","footbagmoves","rail-rooted","","full","","high",""
"Railplant","railplant","3 Observationally represented","A","footbagmoves","rail-rooted","","full","","high",""
"Railwalk","railwalk","3 Observationally represented","A","footbagmoves","rail-rooted","","full","","high",""
"Reverse Swirling Osis","reverse-swirling-osis","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","none",""
"Reverse Whirling Rake","reverse-whirling-rake","3 Observationally represented","A","footbagmoves","whirl-swirl|dragon-rake","","full","","none",""
"Snapdragon","snapdragon","3 Observationally represented","A","footbagmoves","dragon-rake","","full","","medium",""
"Spinning Ducking Pdx Mirage","spinning-ducking-pdx-mirage","3 Observationally represented","A","footbagmoves","ducking|spinning","","full","","none",""
"Spinning Pdx DLO","spinning-pdx-dlo","3 Observationally represented","A","footbagmoves","spinning|dlo-double-down","","full","","none",""
"Spinning Pdx Illusion","spinning-pdx-illusion","3 Observationally represented","A","footbagmoves","spinning","","full","","none",""
"Spinning Pdx Mirage","spinning-pdx-mirage","3 Observationally represented","A","footbagmoves","spinning","","full","","none",""
"Spinning Pdx Whirl","spinning-pdx-whirl","3 Observationally represented","A","footbagmoves","spinning|whirl-swirl","","full","","none",""
"Spinning Symp Swirl","spinning-symp-swirl","3 Observationally represented","A","passback","spinning|whirl-swirl","","full","","none",""
"Spinning Symposium Down Double Down","spinning-symposium-down-double-down","3 Observationally represented","C","fborg","symposium|spinning|dlo-double-down","","full","first_class_ready","","high"
"Stepping Blender (same side)","stepping-blender","3 Observationally represented","A","footbagmoves","stepping|blender-torque","","full","","none",""
"Stepping Clipper (same side)","stepping-clipper","3 Observationally represented","A","multi","stepping","","full","","none",""
"Stepping Ducking DLO","stepping-ducking-dlo","3 Observationally represented","A","footbagmoves","ducking|stepping|dlo-double-down","","full","","none",""
"Stepping Ducking Far Double Pickup","stepping-ducking-far-double-pickup","3 Observationally represented","C","footbagmoves","ducking|stepping","","full","","none",""
"Stepping far Clipper","stepping-far-clipper","3 Observationally represented","A","footbagmoves","stepping","","full","","none",""
"Stepping Illusion (same side)","stepping-illusion","3 Observationally represented","A","footbagmoves","stepping","","full","","none",""
"Stepping Legover (same side)","stepping-legover","3 Observationally represented","A","footbagmoves","stepping","","full","","none",""
"Stepping Mirage (same side)","stepping-mirage","3 Observationally represented","A","footbagmoves","stepping","","full","","none",""
"Stepping Pdx Torque","stepping-pdx-torque","3 Observationally represented","A","footbagmoves","stepping|blender-torque","","full","","none",""
"Surging Ducking Paradox Torque","surging-ducking-paradox-torque","3 Observationally represented","C","footbagmoves","ducking|blender-torque|paradox","","full","","none",""
"Swirlwind","swirlwind","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","high",""
"Symp Swirl (op)","symp-swirl","3 Observationally represented","A","passback","whirl-swirl","","full","","none",""
"Symp Whirl","symp-whirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","none",""
"Symp Whirling Swirl","symp-whirling-swirl","3 Observationally represented","A","passback","whirl-swirl","","full","","none",""
"Symple Reverse Swirl (far)","symple-reverse-swirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","none",""
"Symple Swirl (far)","symple-swirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","none",""
"Symposium Down Double Down","symposium-down-double-down","3 Observationally represented","A","footbagmoves","symposium|dlo-double-down","","full","","none",""
"Toe Ducking Legover","toe-ducking-legover","3 Observationally represented","A","passback","ducking","","full","","none",""
"Toe Gyro Mirage","toe-gyro-mirage","3 Observationally represented","A","passback","gyro-spyro","","full","","none",""
"Toe Spinning Toe","toe-spinning-toe","3 Observationally represented","A","passback","spinning","","full","","none",""
"Torquescrew","torquescrew","3 Observationally represented","A","footbagmoves","blender-torque","","full","","high",""
"Whirling far Butterfly","whirling-far-butterfly","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","none",""
"Whirling pdx Mirage","whirling-pdx-mirage","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","none",""
"Whirling Rake","whirling-rake","3 Observationally represented","A","footbagmoves","whirl-swirl|dragon-rake","","full","","none",""
"Whirlwalk","whirlwalk","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","high",""
"Whirlygig","whirlygig","3 Observationally represented","A","multi","whirl-swirl","","full","","high",""
"Zulu Whirl","zulu-whirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","full","","none",""
"Atomic Double Legover","atomic-double-legover","3 Observationally represented","A","footbagmoves","atomic","","name-only","","",""
"Atomic Double Over Down","atomic-double-over-down","3 Observationally represented","A","footbagmoves","atomic|dlo-double-down","","name-only","","",""
"Atomic Ducking Blender","atomic-ducking-blender","3 Observationally represented","A","multi","ducking|atomic|blender-torque","","name-only","","",""
"Atomic Ducking Double Legover","atomic-ducking-double-legover","3 Observationally represented","C","footbagmoves","ducking|atomic","","name-only","","",""
"Atomic Ducking Mirage","atomic-ducking-mirage","3 Observationally represented","A","footbagmoves","ducking|atomic","","name-only","","",""
"Atomic Ducking Torque","atomic-ducking-torque","3 Observationally represented","A","footbagmoves","ducking|atomic|blender-torque","","name-only","","",""
"Atomic Ducking Whirl","atomic-ducking-whirl","3 Observationally represented","A","footbagmoves","ducking|atomic|whirl-swirl","","name-only","","",""
"Atomic Eggbeater","atomic-eggbeater","3 Observationally represented","A","footbagmoves","atomic","","name-only","","",""
"Atomic Mirage","atomic-mirage","3 Observationally represented","A","footbagmoves","atomic","","name-only","","",""
"Atomic Motion","atomic-motion","3 Observationally represented","A","footbagmoves","atomic","","name-only","","",""
"Atomic os Symposium Double Over Down","atomic-os-symposium-double-over-down","3 Observationally represented","C","footbagmoves","symposium|atomic|dlo-double-down","","name-only","","",""
"Atomic Symposium Mirage","atomic-symposium-mirage","3 Observationally represented","A","footbagmoves","symposium|atomic","","name-only","","",""
"Atomic Symposium Whirl","atomic-symposium-whirl","3 Observationally represented","A","footbagmoves","symposium|atomic|whirl-swirl","","name-only","","",""
"Atomic Whirl","atomic-whirl","3 Observationally represented","A","footbagmoves","atomic|whirl-swirl","","name-only","","",""
"Barraging Barfly Swirl","barraging-barfly-swirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Barraging ss Double Double Down","barraging-ss-double-double-down","3 Observationally represented","C","footbagmoves","dlo-double-down","","name-only","","",""
"Blazing Paradox Whirl","blazing-paradox-whirl","3 Observationally represented","A","footbagmoves","whirl-swirl|paradox","","name-only","","",""
"Bubba Paradox Flail","bubba-paradox-flail","3 Observationally represented","A","footbagmoves","paradox","","name-only","","",""
"Bubba Paradox Symposium Eggbeater","bubba-paradox-symposium-eggbeater","3 Observationally represented","A","footbagmoves","symposium|paradox","","name-only","","",""
"Butterfly Dragon","butterfly-dragon","3 Observationally represented","A","footbagmoves","dragon-rake","","name-only","","",""
"Butterflying Symposium Reverse Swirling Toe","butterflying-symposium-reverse-swirling-toe","3 Observationally represented","A","footbagmoves","symposium|whirl-swirl","","name-only","","",""
"Clipper set ss Double Over Down","clipper-set-ss-double-over-down","3 Observationally represented","A","footbagmoves","dlo-double-down","","name-only","","",""
"Clipper set ss Symposium Double Over Down","clipper-set-ss-symposium-double-over-down","3 Observationally represented","C","footbagmoves","symposium|dlo-double-down","","name-only","","",""
"Diving Whirl","diving-whirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Double Over Downing Osis","double-over-downing-osis","3 Observationally represented","A","footbagmoves","dlo-double-down","","name-only","","",""
"Double Pixie","double-pixie","3 Observationally represented","A","footbagmoves","pixie","","name-only","","",""
"Double Reverse Swirl","double-reverse-swirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Double Swirl","double-swirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Double Swirl Dragon","double-swirl-dragon","3 Observationally represented","A","footbagmoves","whirl-swirl|dragon-rake","","name-only","","",""
"Double Torque","double-torque","3 Observationally represented","A","footbagmoves","blender-torque","","name-only","","",""
"Double Whirl","double-whirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Dragon set Stepping op Firewalk","dragon-set-stepping-op-firewalk","3 Observationally represented","A","footbagmoves","stepping|dragon-rake","","name-only","","",""
"Drifter Swirl","drifter-swirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Ducking Double Legover","ducking-double-legover","3 Observationally represented","A","footbagmoves","ducking","","name-only","","",""
"Fairy Crossbody Rake","fairy-crossbody-rake","3 Observationally represented","A","footbagmoves","fairy|dragon-rake","","name-only","","",""
"Fairy Double Legover","fairy-double-legover","3 Observationally represented","A","footbagmoves","fairy","","name-only","","",""
"Fairy Ducking Mirage","fairy-ducking-mirage","3 Observationally represented","A","footbagmoves","ducking|fairy","","name-only","","",""
"Fairy Spinning Double Over Down","fairy-spinning-double-over-down","3 Observationally represented","C","footbagmoves","fairy|spinning|dlo-double-down","","name-only","","",""
"Fairy Spyro Symposium Torque","fairy-spyro-symposium-torque","3 Observationally represented","C","footbagmoves","fairy|symposium|gyro-spyro|blender-torque","","name-only","","",""
"Fairy ss Butterfly","fairy-ss-butterfly","3 Observationally represented","A","footbagmoves","fairy","","name-only","","",""
"Fairy ss Double Legover","fairy-ss-double-legover","3 Observationally represented","C","footbagmoves","fairy","","name-only","","",""
"Fairy ss Drifter","fairy-ss-drifter","3 Observationally represented","A","footbagmoves","fairy","","name-only","","",""
"Fairy ss Eggbeater","fairy-ss-eggbeater","3 Observationally represented","A","footbagmoves","fairy","","name-only","","",""
"Fairy ss Torque","fairy-ss-torque","3 Observationally represented","A","footbagmoves","fairy|blender-torque","","name-only","","",""
"Fairy Whirl (same side)","fairy-whirl-same-side","3 Observationally represented","A","footbagmoves","fairy|whirl-swirl","","name-only","","",""
"Far Double Over Down","far-double-over-down","3 Observationally represented","A","footbagmoves","dlo-double-down","","name-only","","",""
"Far Whirling Bent Symposium Swirling Osis","far-whirling-bent-symposium-swirling-osis","3 Observationally represented","C","footbagmoves","symposium|whirl-swirl","","name-only","","",""
"Flailing ss Symposium Double Legover","flailing-ss-symposium-double-legover","3 Observationally represented","C","footbagmoves","symposium","","name-only","","",""
"Flailing ss Symposium Double Over Down","flailing-ss-symposium-double-over-down","3 Observationally represented","C","footbagmoves","symposium|dlo-double-down","","name-only","","",""
"Flailing ss Symposium Eggbeater","flailing-ss-symposium-eggbeater","3 Observationally represented","A","footbagmoves","symposium","","name-only","","",""
"Flailing ss Symposium Mirage","flailing-ss-symposium-mirage","3 Observationally represented","A","footbagmoves","symposium","","name-only","","",""
"Flailing Symposium Mirage","flailing-symposium-mirage","3 Observationally represented","A","footbagmoves","symposium","","name-only","","",""
"Fyro Torque","fyro-torque","3 Observationally represented","A","footbagmoves","blender-torque","","name-only","","",""
"Gyro Torque","gyro-torque","3 Observationally represented","A","multi","gyro-spyro|blender-torque","","name-only","","",""
"Gyro Torquescrew","gyro-torquescrew","3 Observationally represented","A","multi","gyro-spyro|blender-torque","","name-only","","",""
"Hopover Swirl Dragon","hopover-swirl-dragon","3 Observationally represented","A","footbagmoves","whirl-swirl|eclipse-hop-over|dragon-rake","","name-only","","",""
"Leaning Torque","leaning-torque","3 Observationally represented","A","footbagmoves","blender-torque","","name-only","","",""
"Miraging Dragon","miraging-dragon","3 Observationally represented","A","footbagmoves","dragon-rake","","name-only","","",""
"Neutron Torque","neutron-torque","3 Observationally represented","A","footbagmoves","blender-torque","","name-only","","",""
"Paradox Drifter XBD Rake","paradox-drifter-xbd-rake","3 Observationally represented","A","footbagmoves","dragon-rake|paradox","","name-only","","",""
"Paradox Merlin","paradox-merlin","3 Observationally represented","A","footbagmoves","paradox","","name-only","","",""
"Paradox Toxic","paradox-toxic","3 Observationally represented","A","footbagmoves","paradox","","name-only","","",""
"Phasing ss Swirl","phasing-ss-swirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Pixie Diving Butterfly","pixie-diving-butterfly","3 Observationally represented","A","footbagmoves","pixie","","name-only","","",""
"Pixie Double Legover","pixie-double-legover","3 Observationally represented","A","footbagmoves","pixie","","name-only","","",""
"Pixie Ducking Butterfly","pixie-ducking-butterfly","3 Observationally represented","A","multi","ducking|pixie","","name-only","","",""
"Pixie Ducking Double Legover","pixie-ducking-double-legover","3 Observationally represented","C","footbagmoves","ducking|pixie","","name-only","","",""
"Pixie Ducking Spinning Toe","pixie-ducking-spinning-toe","3 Observationally represented","C","footbagmoves","ducking|pixie|spinning","","name-only","","",""
"Pixie Gyro Double Legover","pixie-gyro-double-legover","3 Observationally represented","C","footbagmoves","pixie|gyro-spyro","","name-only","","",""
"Pixie Miraging Symposium Miraging Legover","pixie-miraging-symposium-miraging-legover","3 Observationally represented","C","footbagmoves","pixie|symposium","","name-only","","",""
"Pixie Quantum Double Over Down Swirl","pixie-quantum-double-over-down-swirl","3 Observationally represented","C","footbagmoves","pixie|quantum|whirl-swirl|dlo-double-down","","name-only","","",""
"Pixie Spinning Double Over Down","pixie-spinning-double-over-down","3 Observationally represented","C","footbagmoves","pixie|spinning|dlo-double-down","","name-only","","",""
"Pixie Spinning Paradox Blender","pixie-spinning-paradox-blender","3 Observationally represented","C","footbagmoves","pixie|spinning|blender-torque|paradox","","name-only","","",""
"Pixie Spinning Paradox Symposium Whirl","pixie-spinning-paradox-symposium-whirl","3 Observationally represented","C","footbagmoves","pixie|symposium|spinning|whirl-swirl|paradox","","name-only","","",""
"Pixie Spinning Paradox Whirl","pixie-spinning-paradox-whirl","3 Observationally represented","C","footbagmoves","pixie|spinning|whirl-swirl|paradox","","name-only","","",""
"Pixie ss Double Over Down","pixie-ss-double-over-down","3 Observationally represented","C","footbagmoves","pixie|dlo-double-down","","name-only","","",""
"Pixie ss Drifter","pixie-ss-drifter","3 Observationally represented","A","footbagmoves","pixie","","name-only","","",""
"Pixie ss Dyno","pixie-ss-dyno","3 Observationally represented","A","footbagmoves","pixie","","name-only","","",""
"Pixie ss Original Tap","pixie-ss-original-tap","3 Observationally represented","A","footbagmoves","pixie","","name-only","","",""
"Pixie ss Osis","pixie-ss-osis","3 Observationally represented","A","footbagmoves","pixie","","name-only","","",""
"Pixie Symposium Whirling Swirl","pixie-symposium-whirling-swirl","3 Observationally represented","C","footbagmoves","pixie|symposium|whirl-swirl","","name-only","","",""
"Pixie Wonton Butterfly","pixie-wonton-butterfly","3 Observationally represented","A","footbagmoves","pixie","","name-only","","",""
