pattern_class,pattern_name,pixiemoves_example,frequency,structural_role,modern_analog,notes
opening,pixie-segment-universal,TOE > SAME IN [DEX] > ...,21 of 21,universal opening for pixie-class compounds,Modern: same convention,"THE structural signature of pixie-class: TOE set + SAME-leg in-dex (the pixie segment). Every source move begins with this 3-token sequence"
core-segment,pixie-to-toe-terminal,> OP TOE [DEL],5 of 21 (Pixie Smudge Smear Symposium Pixie Backside Symposium Smear),pixie's natural toe-stall terminal,Modern: same pattern,"The pixie base form's natural ending"
core-segment,pixie-to-clipper-terminal,> OP CLIP [XBD] [DEL] or > SAME CLIP [XBD] [DEL],8 of 21,pixie-with-clipper-family ending,Modern: same pattern,"Used when pixie composes into whirl/drifter/butterfly endings"
core-segment,pixie-to-toe-same-leg,> SAME TOE [DEL],4 of 21 (Magellan Pixie Same Side Illusion-no Pixie Leg Over Smog),pixie-with-legover-family ending,Modern: same pattern,"Used when pixie composes into legover/double-legover/illusion endings"
double-pixie,terrage-signature,TOE > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],1 of 21 (Terrage = Double Pixie),double-pixie compositional form,"Modern DB: terrage row at 4 ADD (vs source 3 ADD) + terraging row at 3 ADD (separate)",DOCTRINAL DIVERGENCE: source 3-ADD math (pixie + pixie = 3) vs modern terrage 4-ADD row
pixie-with-symposium,no-plant-pixie,> ... > (no plant while) ... [BOD] [DEX] > ...,2 of 21 (Symposium Pixie Backside Symposium Smear),symposium-element-on-pixie,Modern: same pattern,"Pixie composes with symposium operator"
pixie-with-plant-marker,explicit-plant-after-first-dex,> ... [DEX] (plant) > ...,4 of 21 (Magellan Pixie Same Side Illusion Dimwalk Parkwalk Pixie Double Over Down),"explicit support-leg plant marker AFTER the first pixie dex","Modern ATAM: no (plant) marker",6th cross-audit occurrence of (plant) marker convention
pixie-with-jump-land,jump-land-timing,> ... (JUMP) [BOD] > ... > (LAND),1 of 21 (Pixie Eclipse),"jump-land timing markers around the dex chain","Modern ATAM: no JUMP/LAND markers",UNIQUE source convention; surface as grammar question
pixie-with-swirl,back-swirl-after-pixie,> SAME/OP BACK SWIRL [DEX] > ...,1 of 21 (Pixie Swirl),swirl element after pixie segment,Modern: less common; OP BACK SWIRL compound token,Cross-references 6 source-corpus occurrences of OP BACK SWIRL
alternation,SAME/OP alternation in pixie segment,(NOT seen in pixiemoves opening segments — pixie is always SAME IN),0 in pixie segments; 1 in non-pixie-segment (Pixie Swirl SAME/OP BACK SWIRL),(none in pixie segments),Modern: typically resolves to one canonical,"Pixie segments are uniformly SAME IN — no alternation in opening"
folk-name-with-parenthetical,canonical-pattern,"Folk Name (Pixie X) or X (Pixie X)",13 of 21,both folk name + structural reading,Modern chain registry preserves these,"Strong pattern: most folk-named pixie compounds have explicit 'Pixie X' parenthetical readings"
structural-form-only,pixie-X-no-parenthetical,Pixie Opposite Clipper / Pixie Same Clipper / Pixie Same Side Illusion / Pixie Leg Over / Symposium Pixie / Pixie Eclipse / Pixie Swirl / Pixie Whirl / Pixie Double Over Down / Pixie Paradon,10 of 21,structural-form name; no distinct folk name,"Modern: typically NOT canonicalized","10 structural-form names. Modern doctrine treats these as derivable operator chains"
parenthetical-with-side-qualifier,opposite-side-vs-same-side,"Dimwalk (Pixie Opposite Side Butterfly) vs Parkwalk (Pixie Same Side Butterfly)",2 of 21 (Dimwalk Parkwalk pair),"side-qualifier distinguishes 2 distinct named tricks with same structural base",Modern: BOTH read as 'pixie butterfly' (curatorConfirmPending),CRITICAL: 2 distinct DB rows both read 'pixie butterfly' — curator review pending
