"slug","short_description","execution_summary","learning_notes","prerequisite_notes"
"whirl","The foundation that anchors the whirl family -- a rotational body-spin around a planted supporting leg, with the bag close to the kicking-foot strike point.","Plant the supporting leg under the bag's descent line. The body initiates a single rotation around that planted axis as the kicking foot meets the bag at the strike point. The body completes its spin, weight resetting back over the support; the trick closes with the bag in a clean recovery position. The planted leg is the anchor -- it does not move; the body rotates around it.","Under-rotation is the most common miss -- the body starts the spin but doesn't carry it through, leaving the bag offline at strike. Commit to a full rotation before the kick lands; the rotation is the trick, not an accent to the kick.","Confident clipper stall (2 ADD) and a comfortable opposite-foot dex kick are the prereqs. Whirl is the entry to a 17-row family -- every higher-ADD compound in this batch and beyond layers modifiers onto this rotation."
"ducking-whirl","Drop the body low through the rotation: ducking-whirl compresses the head and shoulders down as the whirl carries around the planted leg.","The body drops into a duck -- head low, shoulders compressed -- at the same moment the whirl rotation begins. The supporting leg holds the rotation axis while the body rotates around it in a low frame; the kicking foot meets the bag mid-rotation. Recovery rises out of the duck as the rotation completes.","Most misses come from ducking late -- the body's already mid-rotation when the duck begins, which kills the rotation's tightness. The duck and the rotation must start together; treat the compression as the rotation's frame, not a separate beat.","Whirl (3 ADD) anchors the rotation. Ducking on a non-rotational base -- ducking-butterfly (4 ADD) or ducking-clipper (3 ADD) -- gives the ducking compression on a simpler frame. Hatchet is the same-tier sibling for body-modifier contrast: dive extends forward; duck compresses down."
"paradox-whirl","The whirl rotation carries a paradox-direction body commitment -- the body resets to the same side across the kick rather than continuing the natural rotational drift.","The supporting leg anchors as usual; the body initiates the rotation, but the paradox marker forces the body's weight to commit same-side across the kick. The rotation completes carrying that paradox commitment -- finish in the recovery position with the body on the same side as the kicking foot, against the natural spin direction.","Natural rotation drifts the body to the opposite side; paradox-whirl asks for the opposite of that drift. Practitioners coming from clean whirl let the body drift through paradox-whirl without committing the same-side reset. Make the paradox direction a deliberate body choice, not a residual of the rotation.","The whirl base (3 ADD) carries the rotation; paradox on a simpler row -- paradox-mirage (3 ADD) -- gives the same-side direction commitment without rotation overhead. Build the paradox body habit first; layer the rotation second."
"spinning-whirl","Two rotations in one trick: the whirl rotation carries the body around the planted leg, and the spinning body-spin adds an independent rotational axis on top.","Two rotations turn together. The whirl carries the body around the planted leg while a separate body-spin axis runs orthogonal to it. The kicking foot meets the bag mid-rotation as both axes turn; the figure completes when the body unwinds back to its supporting-leg anchor.","The body's instinct is to merge the two axes into one bigger rotation -- resist that. If the body-spin eats the whirl, the rotation around the leg loses its anchor; if the whirl eats the body-spin, the trick degenerates to a fast whirl. Hold both axes simultaneously and distinct.","Whirl (3 ADD) is the around-the-leg rotation; spinning-butterfly (4 ADD; spinning on a non-rotational base) demonstrates the spinning axis without overlap. Once both axis-feels are familiar, spinning-whirl is the natural integration step."
"symposium-whirl","A held body line -- the symposium posture -- carries through the whirl rotation, the bag landing on the kicking foot while the body's symposium frame stays intact.","Set the symposium body posture before the rotation begins: shoulders aligned, hips set on the body's symposium frame. The whirl carries the body around the planted leg with that posture held; the kicking foot meets the bag at the standard whirl strike point. The body must not break frame across the rotation -- the symposium line is what the trick is built on.","Posture collapse mid-rotation is the failure mode. Practitioners start with a solid symposium line, lose it through the spin, then re-acquire it for the kick. Hold the line across the whole rotation, not just at the endpoints.","Whirl (3 ADD) covers the rotation; symposium-mirage (3 ADD) covers the symposium posture on a simpler base. Symposium-whirl is the foundation for paradox-symposium-whirl, spinning-symposium-whirl, and mullet -- every higher symposium compound builds on this row."
"stepping-whirl","Mid-rotation, the planted foot steps -- stepping-whirl interrupts the whirl's stationary planted anchor with a deliberate foot relocation as the body spins.","The whirl begins around a planted supporting leg. Partway through the rotation, the planted foot taps or steps to a new position -- the body's rotation continues, but the supporting leg has relocated mid-spin. The kicking foot meets the bag after the step, with the support's new position carrying the recovery.","Stepping too early kills the whirl's rotation -- the body needs the planted anchor through the rotation's first half. Wait until the rotation is well-established before stepping; the step should feel like a continuation of the rotation, not the start of a new movement.","Build whirl (3 ADD) for the rotation, then stepping on a separate base -- stepping-butterfly (4 ADD; canonically ripwalk) or stepping-osis (4 ADD) -- gives the foot-relocation feel without rotation overhead."
"paradox-symposium-whirl","Symposium body line + paradox direction commitment, both holding through a single whirl rotation -- the modifiers ride together, not in sequence.","Two modifiers run simultaneously through the whirl. The body holds the symposium line as the rotation initiates, with the paradox direction committing same-side at the same moment. Both modifiers must be simultaneously present through the rotation; neither sequences before the other. The kicking foot meets the bag mid-rotation in the same recovery frame as a clean whirl.","Most rows in this tier face a modifier-priority problem: the body picks one modifier to execute well and lets the other drift. Practitioners tend to nail symposium cleanly while paradox commits late, or vice versa. Both modifiers belong to the same rotation; rehearse them together, not as a sequence.","Both contributing 4-ADD compounds are direct prereqs: paradox-whirl and symposium-whirl. The trick is the simultaneous combination of two reliable 4-ADD whirl compounds -- both must be clean before the combination clicks."
"tomahawk","Ducking and paradox stack on the whirl: the body drops low through the rotation while committing same-side against the natural spin drift.","Start the duck as the rotation begins -- the body compresses low, head and shoulders down. As the rotation carries around the planted leg, the body commits paradox-direction: same-side reset against the natural spin. The kicking foot meets the bag mid-rotation in the low frame; recovery rises out of the duck onto the paradox-side foot.","Energy allocation is the issue: a deep duck steals commitment from the paradox direction, and a strong paradox commitment tends to lift the body out of the duck. Misses come from one modifier eating the other. Treat both as half-energy contributions to one combined body action.","Tomahawk's two body modifiers -- ducking and paradox -- each have their 4-ADD whirl appearance as prereqs. Mind-bender carries the same body-modifier pair on the blender base; that cross-family sibling is worth studying alongside tomahawk for body-modifier-pair feel."
"spinning-symposium-whirl","Also called whirlwind -- a symposium body line carried through both the whirl rotation and an additional body-spin axis on top.","The symposium line locks first; the whirl rotation carries the body around the planted leg while a separate spinning axis runs on top. Three things are simultaneous: the around-the-leg whirl rotation, the body-spin axis orthogonal to it, and the symposium posture holding through both. Recovery unwinds both axes back to the supporting-leg anchor.","Spinning's appetite consumes the symposium line -- the dual-axis rotation feels so distinctive that the held posture gets neglected. Practitioners arriving from clean spinning-whirl focus on the dual-axis rotation and let the posture drift. Hold the symposium line first; let the spinning axis sit on top of it, not consume it.","Spinning-whirl (4 ADD) gives the dual-axis feel; symposium-whirl (4 ADD) gives the held posture. The folk name 'whirlwind' captures the integrated dual-axis-with-posture sensation -- once both contributing rows are reliable, the combination follows naturally."
"mullet","Three body modifiers in one whirl rotation, executed without a planted foot -- the body's only anchor is its own rotational commitment.","From a clipper set, drop into a ducking compression. The whirl rotation begins WITHOUT planting the supporting leg -- the body rotates in the air with the duck held low, while simultaneously committing the paradox direction and holding the symposium body line. The kicking foot meets the bag mid-rotation in the no-plant frame; recovery lands in an opposite-clipper cross-body delay.","The no-plant rotation is the load-bearing element -- none of the constituent 4-ADD whirl compounds (ducking-whirl, paradox-whirl, symposium-whirl) drop the plant, so mullet introduces a mechanic unfamiliar from the prereqs. If the constituents aren't clean, the missing-plant rotation cascades through all three modifiers at once -- every miss feels like every modifier failing simultaneously.","Ducking-whirl, paradox-whirl, symposium-whirl, and tomahawk (ducking + paradox on whirl) are the natural progression. Tomahawk specifically rehearses the ducking + paradox pair that mullet inherits. Montage (7 ADD; same family, four modifiers) is the next-tier sibling -- both activate the trick-detail modifier-layering panel."
