slug,canonical_name,adds,family,modifier_links,op_notation,prose,records,aliases,pt_risk,recommended_action,scale2_batch
whirl,whirl,3,whirl,0,-,-,1,-,LOW,enrich (base),1
ducking-whirl,ducking whirl,4,whirl,1,-,-,0,-,LOW,enrich,1
paradox-whirl,paradox whirl,4,whirl,1,-,-,0,-,LOW,enrich,1
spinning-whirl,spinning whirl,4,whirl,1,-,-,3,-,LOW,enrich,1
symposium-whirl,symposium whirl,4,whirl,1,-,-,1,-,LOW,enrich,1
stepping-whirl,stepping whirl,4,whirl,1,-,-,0,-,LOW,enrich,1
paradox-symposium-whirl,paradox symposium whirl,5,whirl,2,-,-,2,-,LOW,enrich,1
tomahawk,tomahawk,5,whirl,2,-,-,1,-,LOW,enrich,1
spinning-symposium-whirl,spinning symposium whirl,5,whirl,2,-,-,1,-,LOW,enrich,1
mullet,mullet,6,whirl,3,Y,-,2,-,LOW,promote-from-scale1-defer,1
tapping-whirl,tapping whirl,4,whirl,1,-,-,0,-,LOW,defer-scale3,
surreal,surreal,6,whirl,3,-,-,0,Y,LOW,defer-scale3,
rev-whirl,rev whirl,3,whirl,0,-,-,1,Y,LOW,defer-variant,
rev-up,rev up,3,whirl,0,-,-,0,Y,LOW,defer-variant,
blurry-whirl,blurry whirl,5,whirl,1,-,-,1,Y,HIGH,defer-pt12,
hatchet,hatchet,4,whirl,1,Y,PILOT,1,-,n/a,already-enriched,
montage,montage,7,whirl,4,Y,PILOT,1,-,n/a,already-enriched,
