slug,canonical_name,official_add,operational_notation,derived_add,derived_breakdown,status,unsupported_tokens,doctrine_note,promotion_candidate,notes
around-the-world,around the world,2,,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
assassin,assassin,4,,,,missing-notation,,,0,
atom-smasher,atom smasher,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,1,
atomic-butterfly,atomic butterfly,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
atomic-torque,atomic torque,6,,,,missing-notation,,,0,
barfly,barfly,4,CLIP >> SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],4,[ATAM bracket-flag count] [DEX] + [DEX] + [DEL] + [XBD] = 4 ADD,exact,,,1,
barrage,barrage,3,CLIP > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],3,[ATAM bracket-flag count] [DEX] + [DEX] + [DEL] = 3 ADD,exact,,,1,
barraging-osis,barraging osis,5,CLIP > OP IN [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],5,[ATAM bracket-flag count] [DEX] + [DEX] + [BOD] + [XBD] + [DEL] = 5 ADD,exact,,,1,
big-apple,big apple,6,,,,missing-notation,,,0,
bigwalk,bigwalk,5,,,,missing-notation,,,0,
blender,blender,4,,,self-token: BLENDER,self-token,,,0,
blur,blur,4,CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL],4,stepping(+1) + paradox(+1) + mirage(2) = 4 ADD,exact,,,1,
blurriest,blurriest,5,,,,missing-notation,,,0,
blurry-torque,blurry torque,6,,,,missing-notation,,,0,
blurry-whirl,blurry whirl,5,,,,missing-notation,,,0,
bullwhip,bullwhip,5,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
butterfly,butterfly,3,,3,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=3,exact,,,0,already_first_class
clipper-stall,clipper stall,2,[set] > clipper,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
cloud-kick,cloud kick,1,[set] > cloud kick,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
cloud-stall,cloud stall,2,[set] > cloud,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
cross-body-sole-stall,cross-body sole stall,3,[set] > sole [xbd],3,xbody(+1) + sole-stall(2) = 3 ADD,exact,,,1,
dada-curve,dada curve,4,,,,missing-notation,,,0,
dimwalk,dimwalk,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,1,
double-around-the-world,double around the world,3,,,,missing-notation,,,0,
double-knee,double knee,1,double knee,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
double-leg-over,double leg over,3,,,context-dependent token(s) in leading: double — needs curator-published per-trick decomposition,context-dependent,,,0,
dragonfly-kick,dragonfly kick,2,flying > dragonfly,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
drifter,drifter,3,,,self-token: DRIFTER,self-token,,,0,
ducking-butterfly,ducking butterfly,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
ducking-clipper,ducking clipper,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,1,
ducking-mirage,ducking mirage,3,,,,missing-notation,,,0,
ducking-osis,ducking osis,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,1,
ducking-whirl,ducking whirl,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,1,
dyno,dyno,4,,,self-token: DYNO,self-token,,,0,
eclipse,eclipse,3,,,self-token: ECLIPSE,self-token,,,0,
eggbeater,eggbeater,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
flail,flail,3,,,,missing-notation,,,0,
flurry,flurry,4,,,,missing-notation,,,0,
flying-clipper,flying clipper,2,flying > clipper,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
flying-inside,flying inside,1,flying > inside,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
flying-outside,flying outside,1,flying > outside,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
fog,fog,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,1,
food-processor,food processor,6,,,,missing-notation,,,0,
forehead-stall,forehead stall,1,[set] > forehead,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
fury,fury,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,in DOCTRINE_BLOCKED_SLUGS,0,
fusion,fusion,5,,,,missing-notation,,,0,
gauntlet,gauntlet,7,,7,stepping(+1) + ducking(+1) + paradox(+1) + torque(4) = 7 ADD,exact,,,1,
grave-digger,grave digger,5,,,,missing-notation,,,0,
guay,guay,2,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
hatchet,hatchet,4,CLIP >> DIVE [BOD] > SAME FRONT WHIRL [DEX] > OP CLIP [XBD] [DEL],4,diving(+1) + whirl(3) = 4 ADD,exact,,,1,
haze,haze,4,,,,missing-notation,,,0,
head-stall,head stall,1,[set] > head,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
heel-stall,heel stall,1,[set] > heel,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
high-plains-drifter,high-plains-drifter,4,CLIP > SAME IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],4,[ATAM bracket-flag count] [DEX] + [DEX] + [XBD] + [DEL] = 4 ADD,exact,,,1,
hop-over,hop over,2,,,self-token: HOP OVER,self-token,,,0,
illusion,illusion,2,,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
inside-stall,inside stall,1,[set] > inside,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
jani-walker,jani walker,5,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
knee-clipper,knee-clipper,2,[set] > knee-clipper,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
knee-stall,knee stall,1,[set] > knee,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
