slug,canonical_name,display_name,hashtag,publication_status,first_class_tier,family,base_trick,modifiers,notation_primary,notation_primary_system,operational_notation,operational_notation_source,operational_notation_convention,stanford_symbolic,stanford_symbolic_normalized,stanford_components,stanford_parseable,official_add,add_formula_primary,source_add_claim,source_add_system,doctrine_divergence_category,source_primary,source_refs,parser_status,shorthand_status,notation_gap,curator_notes
around-the-world,around the world,around the world,#around_the_world,canonical,,atw,around-the-world,,ATW,plain_self_token,,,,Z.+1+Z,Z.+1+Z,"[""toe-set"", ""peak"", ""same-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
assassin,assassin,assassin,#assassin,canonical,,mirage,mirage,,PIXIE DUCKING MIRAGE,plain_self_token,,,,Z+1^-1-Z,Z+1^-1-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
atom-smasher,atom smasher,atom smasher,#atom_smasher,canonical,,mirage,mirage,,,missing,,,,Z-0.-1-Z,Z-0.-1-Z,"[""toe-set"", ""opposite-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
atomic,atomic,atomic,#atomic,canonical,,atomic,atomic,,ATOMIC,plain_self_token,,,,,,[],false,2,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
atomic-butterfly,atomic butterfly,atomic butterfly,#atomic_butterfly,canonical,,butterfly,butterfly,,,missing,,,,Z-0.-0-X,Z-0.-0-X,"[""toe-set"", ""opposite-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
atomic-torque,atomic torque,atomic torque,#atomic_torque,canonical,,torque,torque,,ATOMIC TORQUE,plain_self_token,,,,Z-0.-1/-X,Z-0.-1/-X,"[""toe-set"", ""opposite-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,6,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
barfly,barfly,barfly,#barfly,canonical,,infinity,infinity,,CLIP >> SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],job_bracket,CLIP >> SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],Source: FootbagMoves.com. FM canonical name: 'Far Double Over Down'.,canonical_bracket,X.+0+0-X,X.+0+0-X,"[""clipper-set"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
barrage,barrage,barrage,#barrage,canonical,,barrage,barrage,,CLIP > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],job_bracket,CLIP > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],,canonical_bracket,*.-1+1-Z,*.-1+1-Z,"[""any-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
barraging,barraging,barraging,#barraging,canonical,,,barraging,,,missing,,,,,,[],false,,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
barraging-osis,barraging osis,barraging osis,#barraging_osis,canonical,,osis,osis,,CLIP > OP IN [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],job_bracket,CLIP > OP IN [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],,canonical_bracket,X.-1+1/-X,X.-1+1/-X,"[""clipper-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
