"term_a","term_b","relationship_type","axis","rationale","source","notes"
"ADD","additional degree of difficulty","synonym_of","concept","ADD acronym expansion.","IFPA + PassBack",""
"ADD","BOP","prerequisite_for","concept→grouping","ADD system enables BOP grouping (Butterfly + Osis + Pdx Mirage).","IFPA glossary",""
"alpha","beta","related_to","symposium-family-dex-position","Alpha/Beta/Gamma refer to individual symposium dexes within a trick (alpha = first dex symposium, beta = second). Alternate to Frontside/Backside; less commonly used.","PassBack glossary","crosslink_id=alpha-beta-gamma-symposium"
"alpine","crispy","educational_pair","compound-modifier","Two compound-modifier patterns: alpine = insert duck/dive between phases; crispy = re-time downtime to uptime.","PassBack glossary",""
"alpine","duck","modifier_of","alpine-modifier-pattern","Alpine X = take base trick, divide uptime/downtime, insert a duck or dive between. Whether duck or dive depends on whether downtime is op (→ duck) or ss (→ dive).","PassBack glossary","crosslink_id=alpine-duck-or-dive"
"atomic","furious","educational_pair","set-primitive","Parallel set primitives: both +1 non-rotational / +2 rotational.","UX1",""
"atomic","mirage","modifier_of","modifier→base","Atomic + mirage = atom smasher = 4 ADD (with X-Dex per pt1).","UX1",""
"atomic","nuclear","modifier_of","set-modifier-buildup","Nuclear = paradox + atomic per pt10 Red ruling. +2 ADD universal. Structurally combines atomic's set discipline with paradox's hip-pivot pattern.","UX1 + pt10","crosslink_id=atomic-nuclear"
"backside","frontside","educational_pair","symposium-modifier","BS modifies downtime to symposium; FS modifies uptime.","PassBack glossary",""
"backside","symposium","related_to","symposium-family","Backside (BS) names the symposium-modifier applied to the downtime component of a base trick (e.g., BS Atomsmasher = Atomic Symp Mirage). Pt9 Red ruling: backside = symposium-equivalent modifier, +1 ADD.","UX1 + pt9 + PassBack","crosslink_id=backside-symposium"
"barfry","nuclear-butterfly","synonym_of","barfry-decomposition","Barfry's canonical decomposition: nuclear-butterfly (with ss execution direction; ss=+0 per pt12 Red ruling).","pt11 + pt12 SS resolution","crosslink_id=barfry-nuclear-ss-butterfly"
"barraging","barrage","related_to","trick-vs-modifier","Barraging is the +1 universal body modifier; barrage is a standalone 3-ADD trick in its own family. Naming proximity is a common source of confusion.","memory + SCALE-11","crosslink_id=barraging-barrage"
"bigfoot","sideways","related_to","stance-preference","Player stance terms: bigfoot = strong toe and clipper use same foot; sideways = strong toe and clipper use same side (different feet).","PassBack glossary","crosslink_id=bigfoot-sideways-stance"
"blender","whirling-osis","symbolic_equivalent","trick-decomposition","Pt11: blender = whirling-osis.","pt11",""
"blur","stepping-paradox-mirage","symbolic_equivalent","trick-decomposition","Pt10: blur = stepping + paradox + mirage.","pt10",""
"BOP","butterfly","educational_pair","BOP-foundation-trio","BOP = Butterfly + Osis + Pdx Mirage; the three foundational guiltless tricks. Genuine guiltless = guiltless excluding BOPs.","UX1 + PassBack glossary","crosslink_id=BOP-butterfly-osis-pdx-mirage"
"BSOS","BSOR","synonym_of","execution-pattern","Both = both sides one string/run.","PassBack glossary",""
"circle (style)","circle (event)","related_to","disambiguation","Two senses of 'circle': (1) playing with others in a literal circle; (2) competitive event format mimicking circle play.","PassBack glossary","crosslink_id=circle-style-vs-event"
"clean dex","deep dex","educational_pair","dex-execution-quality","Dex window terms: clean = within window; deep = high in window (far from shoe); thin = close to shoe edge; very thin = 'shoey'.","PassBack glossary","crosslink_id=clean-thin-deep-dex"
"clipper","butterfly","prerequisite_for","stall→trick","Clipper-stall is the canonical recovery surface for butterfly.","PassBack glossary",""
"clipper","xbd","synonym_of","clipper-stall-position","Clipper IS an inside-stall in cross-body (xbd) position. The terms clipper-stall and xbd-inside-stall are equivalent.","UX1 + PassBack glossary","crosslink_id=clipper-xbd"
"clipper","xbd inside stall","synonym_of","stall-position","Clipper IS the inside stall in cross-body position.","PassBack glossary",""
"crispy","DLO","modifier_of","crispy-retime-pattern","Crispy X = take part of downtime phase, re-time into uptime. Ex: crispy DLO = blurry-legover (mirage moved from downtime to uptime). Rarely used in practice.","PassBack glossary","crosslink_id=crispy-retime-downtime-to-uptime"
"DEL","DEX","educational_pair","ADD-categories","ADD categories per PassBack: DEL (delay), DEX (dexterity), XBD (cross-body), BOD (body — spinning/ducking/paradox/symp/flying/xdex), UNS (unusual surfaces).","UX1 + PassBack glossary","crosslink_id=add-categories-DEL-DEX-XBD-BOD-UNS"
"dex","atom smasher","prerequisite_for","concept→trick","Atom smasher uses an X-Dex (a dex variant).","IFPA glossary",""
"dex","dexterity","synonym_of","concept","Dex = abbreviation of dexterity.","IFPA + PassBack",""
"dex","mirage","prerequisite_for","concept→trick","Dex (dexterity) is the foundational motion; mirage = one dex per IFPA glossary.","IFPA glossary",""
"DEX","XDEX","operational_variant","component-flag","Both dex flags; XDEX = full-circle dex variant (pt1: narrow specific tricks).","UX1 + pt1",""
"dimwalk","parkwalk","topology_related","walking-family-direction-variant","Both pixie-butterfly; natural-direction vs same-side.","SCALE-11",""
"drifter","miraging-clipper","symbolic_equivalent","trick-decomposition","Pt11: drifter = miraging-clipper.","pt11",""
"drifter","reverse-drifter","topology_related","direction-variant","First canonical direction-variant pair in dictionary.","SCALE-10",""
"drill","rewind combo","educational_pair","combo-structures","Combo structures: drill = unique combo repeated other-side; rewind = combo reversed at midpoint; mirror = link where trick reverses-equivalent.","PassBack glossary","crosslink_id=drill-rewind-mirror-combos"
"drop","bail","related_to","failure-modes","Drop = bag hits ground (failure). Bail = trick modified on the fly to easier version. Footed = bag rolled off stalling foot. Over-dexed = leg dexes too far, misses bag.","PassBack glossary","crosslink_id=drop-bail-the-mistake-modes"
"ducking","diving","educational_pair","head-motion","Four head-motion family: ducking, diving, weaving, zulu.","PassBack glossary",""
"ducking","weaving","related_to","body-modifier-head-motion","Both move head toward bag; ducking sends bag to opposite side, weaving sends bag to same side.","PassBack glossary","crosslink_id=ducking-weaving"
"ducking","zulu","related_to","body-modifier-head-motion","Ducking + Zulu both involve over-and-under head motion; zulu sends bag to opposite side (vs diving's same-side); both are full-arc variants of the ducking family.","PassBack glossary","crosslink_id=ducking-zulu"
"eggbeater","atomic-legover","symbolic_equivalent","trick-decomposition","Pt4: eggbeater = atomic + legover.","pt4",""
"footbag net","footbag golf","educational_pair","non-freestyle-disciplines","Non-freestyle disciplines: footbag net (volleyball-like over net), footbag golf (disc-golf-like), 2/4/N-square (schoolyard variants).","PassBack glossary","crosslink_id=footbag-net-golf-disciplines"
"frontside","symposium","related_to","symposium-family","Frontside (FS) names the symposium-modifier applied to the uptime component (FS Atomsmasher = Symp Atomic Mirage). Mirror of backside.","PassBack glossary","crosslink_id=frontside-symposium"
"full dex","half dex","related_to","dex-fullness","Full dex = leg circles bag entirely; half dex = leg circles bag partially.","PassBack glossary","crosslink_id=full-half-dex-fullness"
"full-symp","symposium","modifier_of","symposium-family","Full Symp = both uptime + downtime symposium (Full Symp Atomsmasher = Symp Atomic Symp Mirage).","PassBack glossary","crosslink_id=full-symp-symposium"
"fury","furious-paradox-mirage","synonym_of","fury-decomposition","Fury's canonical decomposition per pt6 Red ruling: fury = furious + paradox + mirage = 2 + 1 + 2 = 5 ADD.","pt6 + memory","crosslink_id=fury-furious-paradox-mirage"
"handcatch","seal","synonym_of","trick-completion","Handcatch = trick ended with bag caught in hand. Seal = hit with enough control to continue. Both imply successful execution.","PassBack glossary","crosslink_id=hand-catch-seal-handcatch"
"hippy","leggy","related_to","dex-style","Two dex execution styles: hippy = dex motion from hip (thigh circles bag), leggy = dex from knee (calf circles bag).","PassBack glossary","crosslink_id=hippy-leggy-dex-style"
"in-out dex","out-in dex","related_to","dex-direction","Two dex directions relative to body center: in-out (moves away from body), out-in (moves toward body). Mirage = in-out; illusion = out-in.","PassBack glossary","crosslink_id=in-out-dex-direction"
"jam","tournament","related_to","event-type","Event types: tournament (competition-focused) vs jam (casual; regional get-together).","PassBack glossary","crosslink_id=jam-tournament-events"
"Jobs notation","technical name","synonym_of","notation-equivalence","Jobs notation = written form of a trick's components in phase + side. The 'technical name' uses simplest named components; Jobs notation is the formal written form.","PassBack glossary","crosslink_id=jobs-notation-technical-name"
"LIMP","CLIMP","related_to","trick-set-abbreviation","LIMP = Legover/Illusion/Mirage/Pickup; CLIMP adds Clipper.","PassBack glossary",""
"merkon","legover","modifier_of","family-rebase","Merkon's family flipped to legover base per pt5 Red ruling. (Not in active dictionary; flagged for memory.)","pt5","crosslink_id=merkon-legover-base"
"miraging","mirage","modifier_of","mirage-base-vs-modifier","Miraging is the +1 body modifier whose application produces compounds. Drifter = miraging-clipper; torque = miraging-osis; DLO = miraging-legover. Distinct from mirage (the 2-ADD trick).","UX1 + memory","crosslink_id=miraging-mirage"
"mobius","spinning-torque","symbolic_equivalent","trick-decomposition","Multi-layer: mobius = spinning + torque = spinning + miraging + osis.","pt11 + memory",""
"op","far","synonym_of","footedness","Opposite and far are interchangeable per PassBack glossary.","PassBack",""
"osis","drifter","topology_related","rotational-topology","Osis hippy-in-extended and drifter miraging-clipper both anchor rotational-dex topologies on distinct bases.","SG-2 topology groups",""
"paradox","mirage","modifier_of","modifier→base","Paradox + mirage = pdx-mirage = 3 ADD; one of the 3 BOP tricks.","IFPA glossary + UX1",""
"paradox","PDX","operational_variant","semantic→operational","PDX = operational notation flag for paradox-direction dex.","UX1",""
"paradox","symposium","related_to","modifier-family-body","Both are +1 body modifiers; both involve specific support-leg behaviors. Often confused.","IFPA + PassBack",""
"paradox","xdex","related_to","modifier","Both involve hip pivots between dexes; paradox for clipper-set tricks, xdex for toe-set. Pt1: xdex narrow.","UX1 + pt1",""
"passback","self-serve","related_to","circle-etiquette","Passback = giving previous player another turn. Self-serve = serving to oneself; debated etiquette.","PassBack glossary","crosslink_id=passback-self-serve-circle-etiquette"
"phoenix","pixie-ducking-butterfly","synonym_of","phoenix-decomposition","Phoenix's technical name per PassBack glossary: Pixie Ducking Butterfly. Names the modifiers in canonical decomposition order.","pt7 + PassBack glossary technical-name","crosslink_id=phoenix-pixie-ducking-butterfly"
"pixie","butterfly","modifier_of","modifier→base","Pixie + butterfly = dimwalk = 4 ADD.","memory + SCALE-4",""
"pixie","fairy","related_to","set-modifier-universal-plus-1","Both are +1-universal set modifiers. Distinct named modifiers with same ADD profile; mechanical distinction (where the set energy comes from) varies by source.","UX1","crosslink_id=pixie-fairy"
"pixie","quantum","educational_pair","set-modifier-plus-1","Both +1 universal set modifiers; named separately for different mechanical sources.","UX1",""
"pogo","rooted","educational_pair","zero-ADD-set","Two zero-ADD set modifiers (pt6 + pt8 rulings).","UX1 + pt-rulings",""
"PS","paradox-symposium","synonym_of","modifier-shorthand","PS X = Paradox Symposium X (ex: PS Whirl = Paradox Symposium Whirl).","UX1 + PassBack glossary","crosslink_id=ps-paradox-symposium"
"pulled set","slurry set","synonym_of","set-quality","Pulled set = bag dragged through uptime dex/spin before intended component. Also called slurry. Froggy = specifically for pulled spins.","PassBack glossary","crosslink_id=pulled-slurry-froggy-set"
"quantum","shooting","related_to","set-modifier-bonus","Quantum = +1 universal; shooting = +3 (pt7 ruling). Both are set modifiers but live at opposite ADD-contribution scales.","UX1 + pt7","crosslink_id=quantum-shooting"
"Rippin' Run","Iron Man","related_to","endurance-events","Three endurance variations: Rippin' Run (head-to-head; named after Rick Reese), Iron Man (head-to-head), Last Man Standing (all-vs-all).","PassBack glossary","crosslink_id=rippin-iron-last-man"
"ripwalk","dada-curve","topology_related","walking-family-foot-plant","Same op-mechanics shape (clip-dex-dex-op clip), differentiated by foot-plant.","SCALE-10",""
"ripwalk","dimwalk","topology_related","walking-family","Both butterfly-wing-topology with stepping/pixie modifier variants.","SCALE pilot data",""
"ripwalk","sidewalk","topology_related","walking-family-direction-variant","Both stepping-butterfly; natural-direction vs same-side.","pt11",""
"ripwalk","stepping-butterfly","synonym_of","ripwalk-decomposition","Ripwalk's canonical decomposition per pt11 Red ruling: ripwalk = stepping-butterfly. Despite Jobs-notation form 'BLURRY BUTTERFLY' in the DB notation column.","pt11 + memory","crosslink_id=ripwalk-stepping-butterfly"
"shred","air shred","related_to","practice-style","Shred = playing freestyle with bag; air shred = practicing trick motions without bag.","PassBack glossary","crosslink_id=shred-air-shred"
"shred","kick","synonym_of","play-style","Casual freestyle invitations; interchangeable.","PassBack glossary",""
"shred-off","battle","related_to","competition-format","Battle = 1-on-1 technical showdown. Shred-Off = online-only async variant.","PassBack glossary","crosslink_id=shredoff-battle-online"
"shuffle combo","shuffling","related_to","combo-style","Shuffle combo = tricks linked using uptime dexing sets.","PassBack glossary","crosslink_id=shuffle-shuffling-uptime-dex"
"Sick 1","Sick 3","related_to","best-trick-events","Sick 1 = best single trick. Sick 3 = best 3-trick combo. Both are best-trick competition formats.","PassBack glossary","crosslink_id=sick-1-sick-3-best-trick"
"spinning","double-spinning","related_to","rotational-degree","Double spinning = 720° (two full rotations). Triple spinning = 1080°. Productive-multiplicity exception per pt8.","PassBack glossary","crosslink_id=spinning-double-spinning"
"spinning","gyro","educational_pair","rotational-degree","Spinning = 360°; gyro = 180°. Combine for arbitrary degrees.","PassBack glossary",""
"spinning","inspin","related_to","rotational-direction","Both are 360° rotations; spinning = backspin (back passes bag first), inspin = chest passes bag first. Direction prefix in- changes any rotational modifier.","UX1 + PassBack","crosslink_id=spinning-inspin"
"spinning","inspinning","educational_pair","rotational-direction","Spinning = backspin (default); inspinning = chest passes bag first.","PassBack glossary",""
"spinning","whirl","modifier_of","modifier→base","Spinning + whirl = spinning-whirl (4 ADD).","UX1 + memory",""
"ss","near","synonym_of","footedness","Same-side and near are interchangeable per PassBack glossary.","PassBack",""
"stepping","tapping","educational_pair","body-modifier-foot-pattern","Two foot-pattern body modifiers; pt3 explicitly distinguishes them.","UX1 + pt3",""
"string","run","synonym_of","trick-sequencing","String = run = continuous flow of tricks in stream-of-consciousness style. Combo = shorter, themed grouping. Link = specifically a 2-trick combo.","PassBack glossary","crosslink_id=strings-runs-combos"
"symposium","muted","related_to","modifier-family-symposium","Muted = active leg held in air for entire component (no plant at all).","PassBack glossary",""
"symposium","symple","related_to","modifier-family-symposium","Symposium = jump-and-land active leg; symple = starts symposium, non-symple foot returns midway.","PassBack glossary",""
"symposium","whirl","modifier_of","modifier→base","Symposium + whirl = symposium-whirl = 4 ADD.","UX1 + SCALE pilot",""
"technical name","Jobs notation","symbolic_equivalent","notation-form","Both are written forms of trick decomposition; Jobs notation is the formal grammar.","PassBack glossary",""
"terraging","terrage","related_to","trick-vs-modifier","Terraging is the +3 body modifier (pt6); terrage is a standalone 4-ADD trick. Parallel naming pattern to barraging:barrage.","memory + SCALE-10","crosslink_id=terraging-terrage"
"the (component)","missed","synonym_of","execution-anomaly","The 'the' component (pronounced 'thuh') = component attempted but completely missed. Specifically named.","PassBack glossary","crosslink_id=the-the-component-attempted-missed"
"tiltless","guiltless","educational_pair","ADD-grouping-ladder","ADD-tier ladder: Tilts (1), Tiltless (≥2), Guilts (2), Guiltless (≥3), Tripless (≥4), Fearless (≥5), Beastly (≥6), Godly (≥7).","UX1 + PassBack glossary","crosslink_id=tiltless-guiltless-ladder"
"toe","clipper","related_to","foundational-stalls","The two most foundational delay surfaces; nearly every trick starts or ends on toe or clipper. Toe = top-of-foot stall; Clipper = inside-stall in xbd position.","UX1 + memory","crosslink_id=toe-clipper-pair"
"toe","mirage","prerequisite_for","stall→trick","Toe-stall is required as the set surface for most mirage executions.","PassBack glossary",""
"toe scrape","toe up","synonym_of","circle-etiquette-disrespect","Toe scrape / toe up = sliding bag onto foot using other shoe's sole. Considered potentially disrespectful + can damage bag.","PassBack glossary","crosslink_id=toe-scrape-toe-up-disrespect"
"torque","blender","topology_related","rotational-decomposition-pair","Torque = miraging-osis; blender = whirling-osis. Both osis-based via different rotational body modifiers.","pt11",""
"torque","miraging-osis","symbolic_equivalent","trick-decomposition","Pt11: torque = miraging-osis.","pt11",""
"trials","tricks","related_to","play-style","Trials = combining traditional tricks with physical obstacles.","PassBack glossary","crosslink_id=trials-tricks-with-obstacles"
"weaving","zulu","educational_pair","head-motion","Both same-side head-motion; ducking→opposite, weaving→same, diving→same, zulu→opposite.","PassBack glossary",""
"whirl","rev-whirl","topology_related","direction-variant","Second canonical direction-variant pair after drifter.","SCALE-11",""
