mov_name,add,notation,category,target_slug,recommendation
Butterfly Swirl,4,SET > SAME/OP OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],alt_of_existing,spyro-gyro,"Already mapped: NAME_ALIASES['spyro-gyro']=['Spyro Gyro','Gyro Butterfly Swirl']. MoV uses bare 'Butterfly Swirl'; consider adding as additional alias."
Double Swirl,4,CLIP > SAME FRONT/BACK SWIRL [DEX] > SAME FRONT/BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],alt_of_existing,ripstein,Already in NAME_ALIASES as alt of ripstein. MoV registers as primary entry. Add 'Double Swirl' to ripstein aliases.
Double-Over Down,4,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],distinct_compound,,Distinct from 'Down Double-Down' (DDD). MoV: TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP. ADD=4. Not in IFPA canon. Red Wave 3 supplement candidate (placeholder-or-canonical decision).
Hop Over Swirl,4,INSIDE > (JUMP) [BOD] > OP SWIRL [DEX] > SAME CLIP [XBD] [DEL],distinct_compound,,Folk-named structural compound: INSIDE > (JUMP) [BOD] > OP SWIRL [DEX] > SAME CLIP. ADD=4. Not in IFPA canon. Red Wave 3 supplement candidate.
Scorpion's Tail,5,CLIP > (back) SPIN [bod] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],distinct_compound,,Folk-named trick: CLIP > (back) SPIN [bod] > OP OUT [DEX] > SAME OUT [DEX]. ADD=5. Alt = Spinning Down Double-Down. Not in IFPA canon. Red Wave 3 supplement candidate.
Scorpion's Tail (Spinning Down Double-Down),5,CLIP > (back) SPIN [bod] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],paren_paired_with,scorpions-tail,Parenthetical-paired alt; same entry as Scorpion's Tail.
Spinning Down Double-Down,5,CLIP > (back) SPIN [bod] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],alt_of,scorpions-tail,Structural alt of Scorpion's Tail; split-registered by parser fix.
Stepping Opposite Osis,4,CLIP > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],alt_of_existing,torque,Already in fborg as alt of 'Torque (Stepping Opposite Osis)'. Add to torque aliases for completeness.
Stepping Opposite Side Butterfly,4,CLIP > OP IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],alt_of_existing,ripwalk,Already in fborg as alt of 'Ripwalk (Stepping Opposite Side Butterfly)'. Add to ripwalk aliases for completeness.
Symposium Double Leg Over,4,SET > (no plant while) OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],distinct_compound,,Symposium-class compound: SET > (no plant while) OP IN [DEX] > OP OUT [DEX] > SAME TOE. ADD=4. Derivable per §10 (symposium + double-leg-over). Likely no new canonical row needed.
Symposium Eggbeater,4,SET > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > SAME TOE [DEL],distinct_compound,,Symposium-class compound: SET > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX]. ADD=4. Derivable per §10 (symposium + eggbeater). Likely no new canonical row needed.
