mov_name,mov_add,mov_notation,ifpa_slug,ifpa_canonical_name,ifpa_add,slug_status,ifpa_vs_mov,cross_source_in,notes
Barfly,4,CLIP > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],barfly,barfly,4,db,agreement,,
Barroque,5,CLIP > OP IN [DEX] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],baroque,,,placeholder,placeholder_no_db,,placeholder slug in NAME_ALIASES; no DB row
Blender,4,SET > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],blender,blender,4,db,agreement,,
Blur,4,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],blur,blur,4,db,agreement,blurryMoves.txt,
Blur (Stepping Paradox Mirage),4,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],blur,blur,4,db,agreement,blurryMoves.txt,
Blurriest,5,CLIP > OP IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],blurriest,blurriest,5,db,agreement,,
Blurry Whirl,5,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],blurry-whirl,blurry whirl,5,db,agreement,blurryMoves.txt,
Blurry Whirl (Stepping Paradox Whirl),5,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],blurry-whirl,blurry whirl,5,db,agreement,blurryMoves.txt,
Butterfly Swirl,4,SET > SAME/OP OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],,,,no_slug,unmatched,,
Clipper,2,,clipper,clipper,1,db,mismatch,fundamentalmoves.txt,"CORE-ATOM-CANONICAL-RECONCILE-1: bare ""Clipper"" = clipper-stall (2 ADD), not clipper-kick (1 ADD). Aliasing artifact, not a real disagreement."
Double Swirl,4,CLIP > SAME FRONT/BACK SWIRL [DEX] > SAME FRONT/BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],,,,no_slug,unmatched,,
Double-Over Down,4,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,,,no_slug,unmatched,,
Down Double-Down,4,CLIP > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],double-down,,,placeholder,placeholder_no_db,,placeholder slug in NAME_ALIASES; no DB row
Drifter,3,SET > OP IN [DEX] > SAME CLIP [XBD] [DEL],drifter,drifter,3,db,agreement,,
Flurry,4,CLIP > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],flurry,flurry,4,db,agreement,,
Fog,5,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],fog,fog,5,db,agreement,blurryMoves.txt,
Fog (Stepping Paradox Double Leg Over),5,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],fog,fog,5,db,agreement,blurryMoves.txt,
Gyro Drifter,4,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],gyro-drifter,,,placeholder,placeholder_no_db,gyroMoves.txt,placeholder slug in NAME_ALIASES; no DB row
Gyro Torque,5,CLIP > (BACK) SPIN [BOD] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],mobius,mobius,5,db,agreement,fundamentalmoves.txt,
