slug,layer,issue,disposition
atomic-torque,active-canonical,no op_notation -> unknown dex,source missing / derivable
barraging-pickup,active-canonical,no op_notation -> unknown dex,source missing / derivable
bedwetter,active-canonical,no op_notation -> unknown dex,source missing / derivable
big-apple-sauce,active-canonical,no op_notation -> unknown dex,source missing / derivable
bill-ted-s-excellent-adventure,active-canonical,no op_notation -> unknown dex,source missing / derivable
blizzard,active-canonical,no op_notation -> unknown dex,source missing / derivable
blurrage,active-canonical,no op_notation -> unknown dex,source missing / derivable
blurry-torque,active-canonical,no op_notation -> unknown dex,source missing / derivable
blurry-whirl,active-canonical,no op_notation -> unknown dex,source missing / derivable
clown-face,active-canonical,no op_notation -> unknown dex,source missing / derivable
diving-eclipse,active-canonical,no op_notation -> unknown dex,source missing / derivable
diving-toe-stall,active-canonical,no op_notation -> unknown dex,source missing / derivable
double-around-the-world-heel,active-canonical,no op_notation -> unknown dex,source missing / derivable
down-double-down,active-canonical,no op_notation -> unknown dex,source missing / derivable
fairy-gyro-torque,active-canonical,no op_notation -> unknown dex,source missing / derivable
fairy-merkon,active-canonical,no op_notation -> unknown dex,source missing / derivable
fairy-ripstein,active-canonical,no op_notation -> unknown dex,source missing / derivable
floatation,active-canonical,no op_notation -> unknown dex,source missing / derivable
fury,active-canonical,no op_notation -> unknown dex,source missing / derivable
genesis,active-canonical,no op_notation -> unknown dex,source missing / derivable
gyro-diving-clipper,active-canonical,no op_notation -> unknown dex,source missing / derivable
hop-over,active-canonical,no op_notation -> unknown dex,source missing / derivable
jani-walker,active-canonical,no op_notation -> unknown dex,source missing / derivable
liquifier,active-canonical,no op_notation -> unknown dex,source missing / derivable
margaritaville,active-canonical,no op_notation -> unknown dex,source missing / derivable
nebula,active-canonical,no op_notation -> unknown dex,source missing / derivable
oh-wheely,active-canonical,no op_notation -> unknown dex,source missing / derivable
omelette,active-canonical,no op_notation -> unknown dex,source missing / derivable
paradox-symposium-illusion,active-canonical,no op_notation -> unknown dex,source missing / derivable
pixie-spinning-paradox-blender,active-canonical,no op_notation -> unknown dex,source missing / derivable
pixie-spinning-paradox-symposium-whirl,active-canonical,no op_notation -> unknown dex,source missing / derivable
pixie-spinning-paradox-whirl,active-canonical,no op_notation -> unknown dex,source missing / derivable
plasma,active-canonical,no op_notation -> unknown dex,source missing / derivable
predator,active-canonical,no op_notation -> unknown dex,source missing / derivable
rage,active-canonical,no op_notation -> unknown dex,source missing / derivable
redwetter,active-canonical,no op_notation -> unknown dex,source missing / derivable
refraction,active-canonical,no op_notation -> unknown dex,source missing / derivable
sailing,active-canonical,no op_notation -> unknown dex,source missing / derivable
schmoe,active-canonical,no op_notation -> unknown dex,source missing / derivable
sole-survivor,active-canonical,no op_notation -> unknown dex,source missing / derivable
spinning-ducking-drifter,active-canonical,no op_notation -> unknown dex,source missing / derivable
spinning-miraging-symposium-torque,active-canonical,no op_notation -> unknown dex,source missing / derivable
spinning-symposium-whirling-swirl,active-canonical,no op_notation -> unknown dex,source missing / derivable
spinning-tomahawk,active-canonical,no op_notation -> unknown dex,source missing / derivable
spyro,active-canonical,no op_notation -> unknown dex,source missing / derivable
stepping-ducking-paradox-illusion,active-canonical,no op_notation -> unknown dex,source missing / derivable
stepping-ducking-symposium-eggbeater,active-canonical,no op_notation -> unknown dex,source missing / derivable
surging,active-canonical,no op_notation -> unknown dex,source missing / derivable
surging-ducking-paradox-torque,active-canonical,no op_notation -> unknown dex,source missing / derivable
swirlwind,active-canonical,no op_notation -> unknown dex,source missing / derivable
symposium-blur,active-canonical,no op_notation -> unknown dex,source missing / derivable
symposium-mobius,active-canonical,no op_notation -> unknown dex,source missing / derivable
symposium-tomahawk,active-canonical,no op_notation -> unknown dex,source missing / derivable
terrage,active-canonical,no op_notation -> unknown dex,source missing / derivable
triple-around-the-world,active-canonical,no op_notation -> unknown dex,source missing / derivable
warp,active-canonical,no op_notation -> unknown dex,source missing / derivable
whirling-pickup,active-canonical,no op_notation -> unknown dex,source missing / derivable
whirling-rake,active-canonical,no op_notation -> unknown dex,source missing / derivable
witchdoctor,active-canonical,no op_notation -> unknown dex,source missing / derivable
id,observational,null proposed ADD,needs Red
kiwi,observational,null proposed ADD,needs Red
monster,observational,null proposed ADD,derivable
rotor,observational,null proposed ADD,derivable
source-only,observational,null proposed ADD,derivable
wauxspin,observational,null proposed ADD,derivable
