observed_name,provenance,disposition,target_slug,strongest_candidate_tested,source_notation,candidate_notation,structural_mismatch,add_disagreement,why_alias_false_or_reason,positional_preserved,public_status
BS Paste,PB,register-alias,backside_paste,backside_paste,(no notation row; name-level),"(active canonical, 4 ADD)",none - BS=Backside expands to the exact active canonical,n/a,abbreviation of the active canonical Backside Paste,n/a,"resolved-archive (public, as alias)"
Xbd Sole Stall,PB,register-alias,cross_body_sole_stall,cross_body_sole_stall,(name-level),SET > SAME SOLE [XBD] [UNS] [DEL],none - Xbd=cross-body expands to the exact active canonical,n/a,abbreviation of the active canonical cross-body sole stall,n/a,"resolved-archive (public, as alias)"
Gryo DLO,PB,spelling-normalization,gyro_double_leg_over,gyro_double_leg_over,(name-level),CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP OUT [DEX] ...,none - Gryo is a typo for Gyro; DLO=double leg over,n/a,spelling variant of Gyro DLO,n/a,"resolved-archive (public, as alias)"
double-dex ATW,PB,register-alias,double_around_the_world,double_around_the_world,(name-level; ATW inward doctrine),TOE > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],none - two repeated inward dexes = Double ATW,n/a,a double-dex ATW is the Double Around the World,inward preserved,"resolved-archive (public, as alias)"
triple-dex ATW,PB,register-alias,triple_around_the_world,triple_around_the_world,(name-level),TOE > SAME IN [DEX] x3 > SAME TOE [DEL],none - three repeated inward dexes = Triple ATW,n/a,a triple-dex ATW is the Triple Around the World,inward preserved,"resolved-archive (public, as alias)"
Double Reverse ATW,SG,register-alias,double_orbit,double_orbit,"(orbit already aliases ""reverse atw"")",TOE > SAME OUT [DEX] x2 > SAME TOE [DEL],none - Reverse ATW=Orbit (ratified); double form=double orbit,n/a,Reverse ATW vocabulary maps to Orbit; the double is double orbit,outward preserved,"resolved-archive (public, as alias)"
Triple Reverse ATW,SG,register-alias,triple_orbit,triple_orbit,(orbit reverse-atw alias precedent),TOE > SAME OUT [DEX] x3 > SAME TOE [DEL],none - triple reverse ATW=triple orbit,n/a,Reverse ATW maps to Orbit; the triple is triple orbit,outward preserved,"resolved-archive (public, as alias)"
Rasmus,FM,register-alias,atomic_ducking_mirage,atomic_ducking_mirage,TOE > OP OUT [DEX] > DUCK [BOD] > OP IN [DEX] (XDEX) > OP TOE [DEL],TOE > OP OUT [DEX] > DUCK [BOD] > OP IN [DEX] > OP TOE [DEL],none - identical dex/body/terminal order (X-Dex aside),historical: source 5 ADD counts an X-Dex; canonical is 4 under the ducking-non-receiver ruling,"structure IS atomic ducking mirage; the folk name resolves, ADD kept as provenance",n/a,"resolved-archive (public, as alias)"
Leaning Jowler,FM,register-alias,surging_mirage,surging_mirage,CLIP > OP IN [DEX] > (front) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL],CLIP > OP IN [DEX] > (front) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL],none - exact structural match,none (both 4 ADD),structure IS surging mirage exactly; folk name resolves,n/a,"resolved-archive (public, as alias)"
Grifter (same side),FM,register-alias,reverse_drifter,reverse_drifter,CLIP > OP OUT [DEX] > SAME CLIP [XBD] [DEL],CLIP > OP OUT [DEX] > SAME CLIP [XBD] [DEL],none - exact match incl the same-side (SAME CLIP) terminal,none (both 3 ADD),the same-side grifter IS reverse drifter (same-side terminal captured),same side preserved (SAME CLIP),"resolved-archive (public, as alias)"
Frenzy,FM,hold-structural,,smear / pixie_mirage (rejected),TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] (XDEX) > OP TOE [DEL],smear TOE > SAME IN [DEX] > SAME TOE...,dex directions and count differ; no canonical has this three-dex SAME-IN/OP-IN sequence,structural (not just ADD),no canonical shares the dex-order; would be a new promotion,n/a,review-held (suppressed from public EV)
Ill Frenzy,FM,hold-structural,,tapping_mirage (rejected),TOE > (rooted) SAME IN [DEX][BOD] > OP IN [DEX] > OP OUT [DEX] (XDEX) > OP TOE [DEL],tapping_mirage TOE > OP OUT [DEX] >> SAME OUT [DEX]...,extra rooted [BOD] and different dex order; distinct 5-6 dex structure,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Kill Frenzy,FM,hold-structural,,quantum_mirage (rejected),TOE > (rooted) SAME IN [DEX][BOD] > OP IN [DEX] > OP IN [DEX] (XDEX) > OP TOE [DEL],quantum_mirage differs in entry/dex order,distinct multi-dex structure,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
