"conflict_id","surface","conflict_type","severity","governing_rule","resolution_path","blocks_promotion","notes"
"C1","Hurl / Barfry / Godzilla — Nuclear ss X math","ADD_delta_federation_math_divergence","low (resolved)","SS=+0 ruling (Red 2026-05-11)","resolved_documented","no","Resolution: federation_math_divergence; preserve as folk-alias evidence. See FM_MATH_DIVERGENCES.csv."
"C2","Omelette — FM=4 vs IFPA=3","ADD_delta_unresolved","MEDIUM","FM tech 'Atomic Illusion' suggests atomic+illusion=4 (atomic=+1 + illusion=3); IFPA has omelette=3 ADD","Red question OR pt12 expansion","yes-modest (omelette is pickup-tier; would block pickup-family completion if pt12 surfaces math gap)","Single-row ADD-delta. Investigate: is FM 'Atomic Illusion' a different decomposition than IFPA's omelette, or is IFPA's omelette ADD value the math problem?"
"C3","Terrage — FM=3 vs IFPA=4","ADD_delta_unresolved","MEDIUM","FM tech 'Double Pixie' suggests pixie+pixie=2 ADDs on a base, total~3; IFPA terrage=4","Red question","no","FM uses 'Double Pixie' decomposition (recursive Pixie stacking); IFPA reads as +1+1+base. Off-by-one suggests IFPA may have an inflated count or FM count is non-canonical."
"C4","Fury — FM=6 vs IFPA=5","ADD_delta_FM_data_noise","LOW (existing pt6 ruling)","pt6 ruled fury=furious+paradox+mirage=5; FM uses 'Furious Mirage' single-modifier reading","documented divergence","no","FM reads Fury as 'Furious Mirage' (single modifier on mirage); IFPA pt6 reads as 3 modifiers. FM=6 vs IFPA=5 is FM data noise per pt6."
"C5","Curated extract vs authoritative inventory on Barfry","data_source_disagreement","LOW","fm_alias_terminology_extract.csv says 'Nuclear far Butterfly'; authoritative inventory says 'Nuclear ss Butterfly'","curation review pass; one row update","no","Resolvable now: align curated extract to authoritative inventory; or vice versa with FM source check. Either way, SS resolution applies."
"C6","Slicing — two Sets-tab definitions","FM_data_inconsistency","LOW (FM-side issue)","Sets-tab shows: 'Gyro Rev. Swirling' AND 'Blurry Quasi' as Slicing definitions","FM curation review; not IFPA's concern","no","Not an IFPA conflict; FM has internal polysemy. Document; do not adopt."
"C7","Blurry-Whirl / Blurry-Torque math conflict","decomposition_gap","HIGH (pt12)","pt12 queue items 1 + 2; blurry on rotational base produces FM-IFPA delta","Red pt12 packet (separate question)","yes (blocks blurry-whirl promotion)","Existing pt12 queue. Not in scope for this phase."
"C8","Food Processor — blurry+blender ADD-math gap","decomposition_gap","HIGH (pt12 item 5b)","1 modifier `blurry` on blender base = 5 per flat add, but DB asserts 6","Red pt12 packet OR Q4-class recursive decomposition","yes (blocks food-processor promotion)","Same class as Blur/Ripwalk per blurry modifier notes."
"C9","Fairy / Gyro / Blazing / Surging / Furious / Barraging / Railing / Flailing / Phasing / Leaning / Sailing / Slicing / etc. — Q4 FM-vocab modifiers","ontology_gap","MEDIUM (Q4 batch)","FM-vocab modifiers have no IFPA add_bonus row","Q4 Red packet (drafted; not yet sent)","yes for fairy-class rows (Casket, Flaming Homer, Glaucoma, Park Avenue, etc.) — defer to Q4","Q4 is a batch question covering all FM-vocab modifiers."
"C10","Operator inheritance — Sets-tab recursive definitions","grammar_level_question","LOW-MEDIUM","Sets like Slaying = Symp Sailing = Symp Pixie Atomic — 3-deep recursion","phase-2 Red question (operator inheritance semantics)","no (educational only)","Whether IFPA should expose recursive modifier compositions in the educational layer."
"C11","near / far / op / os positional operators — ADD weight","operator_semantic","LOW","Inferred +0 ADD by analogy to ss=+0; not formally adjudicated","phase-2 Red question OR observational confirmation","no","Pattern is consistent across corpus; deferring formal ruling is low-risk. Confirm with Red when convenient."
"C12","Reverse-direction operator — ADD weight","operator_semantic","LOW","Reverse Whirl = 3 ADD (rev-whirl in IFPA); FM Reverse Blender = 4 ADD (Dyno); Reverse Torque = 4 ADD (Flux). Pattern: Reverse appears 0-ADD-bearing on canonical math.","phase-2 Red question OR documented as descriptive","no","Consistent with directional + descriptive role."
"C13","Temporal qualifiers (uptime/downtime/midtime) — coverage gap in scraped inventory","data_pipeline","LOW","Visible in PassBack screenshots; absent from scraped legacy_data/out/footbagmoves_inventory.csv","scraper coverage pass (F2-C improvement) OR re-scrape with temporal preservation","no","Workable: temporals are descriptive; lossy capture is acceptable until educational surface decision."
"C14","Blender's trick_family = 'osis' (per pt11 ontology) vs page-display 'blender family' expectation","ontology_vs_display_convention","LOW (already-pilot row)","pt11 ruled blender = Whirling Osis; trick_family column reflects osis; page chip reads 'osis family'","documented; prose acknowledges integration","no (blender is already pilot)","Resolved in SCALE-3 by prose framing; no further action."
