event_id,discipline,placement,participant_order,display_name,player_name_raw,person_id,team_person_key,resolution_status,data_source
1982_worlds,Open Sgls Net,1,1,Kenneth Shults,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,,MATCHED,PRE1997
1982_worlds,Open Sgls Net,2,1,Bill Hayne,Billy Hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,,AUTOACCEPTED,PRE1997
1982_worlds,Open Sgls Net,3,1,Bruce Guettich,Bruce Guettich,886e5b99-bd46-5707-a490-a2e938b09a35,,MATCHED,PRE1997
1982_worlds,Open Dbls Net,1,1,Mag Hughes,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,,MATCHED,PRE1997
1982_worlds,Open Dbls Net,1,2,Bill Hayne,Billy Hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,,AUTOACCEPTED,PRE1997
1982_worlds,Open Dbls Net,2,1,Kenneth Shults,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,,MATCHED,PRE1997
1982_worlds,Open Dbls Net,2,2,Walt Mason,Walt Mason,c0592850-ae68-5b8b-aaf2-2741b8bdc51d,,MATCHED,PRE1997
1982_worlds,Open Dbls Net,3,1,Fred Kippley,Fred Kipley,8acf4e97-e1e8-50d7-8fd4-3a1d8ff4e731,,AUTOACCEPTED,PRE1997
1982_worlds,Open Dbls Net,3,2,Gary Preston,Gary Preston,472663b7-a356-59f4-8743-c5ad3fae999e,,MATCHED,PRE1997
1982_worlds,Women's Sgls Net,1,1,Cheryl Hughes,Cheryl Hughes,cfcef53f-670c-5721-b206-1ebe7d63987c,,MATCHED,PRE1997
1982_worlds,Women's Sgls Net,2,1,Carolyn Ramondie,Carolyn Ramondie,cbf84862-04b1-5408-9e43-49b9818ed9aa,,MATCHED,PRE1997
1982_worlds,Women's Sgls Net,3,1,Karen Gunther,Karen Gunther,63327293-7bb9-5a45-a50a-e2a2167ba80e,,MATCHED,PRE1997
1982_worlds,Women's Dbls Net,1,1,Carolyn Ramondie,Carolyn Ramondie,cbf84862-04b1-5408-9e43-49b9818ed9aa,,MATCHED,PRE1997
1982_worlds,Women's Dbls Net,1,2,Lori Jean Conover,Lori Jean Tarr,77f0f32d-98bf-5742-8228-4e06ac07bd9d,,MATCHED,PRE1997
1982_worlds,Women's Dbls Net,2,1,Rita Buckley,Rita Buckley,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e,,MATCHED,PRE1997
1982_worlds,Women's Dbls Net,2,2,Alex Frazier,Alex Frazier,1f2d14aa-31e7-5d1f-a338-9ae43af68af5,,MATCHED,PRE1997
1982_worlds,Women's Dbls Net,3,1,Karen Uppinghouse,Karen Uppinghouse,4b3d47c0-977c-5285-a31f-b3c2f33428a8,,NEW_PLAYER,PRE1997
1982_worlds,Women's Dbls Net,3,2,Cheryl Hughes,Cheryl Hughes,cfcef53f-670c-5721-b206-1ebe7d63987c,,MATCHED,PRE1997
1982_worlds,Mixed Dbls Net,1,1,Mag Hughes,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,,MATCHED,PRE1997
