"slug","short_description","execution_summary","learning_notes","prerequisite_notes"
"drifter","The drifter base -- a clipper-stall with a miraging rotation layered through; folk-named as drifter, canonically read as 'miraging clipper'.","Open in clipper-stall position; as the bag descends, the body initiates a miraging rotation. The rotation carries through to landing -- the bag arrives on the cross-body clipper as the body completes its quarter-spin. The clipper-stall and the miraging rotation share one motion; neither stands alone.","Most misses come from the rotation finishing before the bag lands -- the body's already in landing posture while the clipper is still mid-reach. Hold the rotation through to bag-contact; the spin and the catch should resolve together.","Clipper-stall (2 ADD) is the entry; mirage (2 ADD) gives the rotational dex on a simpler frame. Drifter anchors the drifter family: paradox-drifter, smoke (pixie + drifter), tombstone, and vortex all layer modifiers onto this base."
"ducking-clipper","Drop the body low through a clipper-stall -- ducking-clipper compresses head and shoulders down as the supporting leg reaches across for the cross-body delay.","The body initiates a duck compression -- head low, shoulders dropped -- as the bag descends toward the clipper-stall surface. The supporting leg crosses for the delay landing in the lowered frame; recovery rises out of the duck as the bag settles. The trick's signature is the body-low posture held through the entire delay sequence.","A shallow duck reads as no duck -- the depth must be visibly committed, not just the body's natural lean toward the bag. Practitioners coming from clean clipper tend to under-duck; commit the compression deeper than feels natural.","Clipper-stall (2 ADD) is the foundation. Ducking-clipper is the simplest ducking compound; higher ducking compounds (ducking-butterfly, ducking-osis, ducking-whirl) layer rotation or wing mechanics onto this same compression. Anchor for the ducking-bridge ladder."
"paradox-mirage","Mirage's in-to-out rotational dex with a paradox direction commitment -- the body resets to the same side at the strike point rather than continuing the natural rotational drift.","Set the bag with a toe set; the first kick drives outside the supporting leg in mirage's canonical pattern. The body's weight commits same-side across the kick -- the paradox marker -- rather than completing to the opposite side. Recovery lands on a same-toe delay with the body still on the kicking-foot side.","Clean mirage finishes with the body drifted opposite-side; paradox-mirage asks the opposite. Practitioners with clean mirage tend to let the body settle naturally, which loses the paradox. Make the same-side commitment a deliberate body choice before the kick lands.","Mirage (2 ADD) is the rotational foundation. Paradox-mirage is the foundational paradox compound -- every higher paradox row across families (paradox-whirl, paradox-blender, paradox-drifter, paradox-torque, paradox-symposium-whirl, tomahawk, matador, mind-bender, spender, montage) builds on this row's same-side direction discipline."
"smear","Pixie's same-inside set carries onto the mirage base -- the bag passes behind the planted leg before the standard mirage in-to-out dex completes the rotation.","The first kick lands same-side inside (pixie), sending the bag behind the supporting leg. The body then opens for the canonical mirage outside dex on the second kick, landing on an opposite-toe delay. Pixie's same-inside opener is the only addition over canonical mirage -- the rest of the trick is the mirage rotation intact.","The pixie opener is closer to the body than mirage instinct expects. Practitioners with clean mirage tend to over-rotate the first kick into a natural outside reach; keep the same-inside compact. The wing belongs to the second kick, not the first.","Mirage (2 ADD) is the rotational foundation. The pixie-bridge cohort -- dimwalk (4 ADD, pixie + butterfly), smoke (4 ADD, pixie + drifter), paste (3 ADD, pixie + pickup), pigbeater (4 ADD, pixie + eggbeater), phoenix (5 ADD, pixie + ducking + butterfly) -- applies the same same-inside set on different bases. Smear completes the pixie bridge to the mirage family."
"ducking-butterfly","Butterfly's outside-wing motion with ducking's head-low compression layered through -- body drops as the wing opens, rises as the trick closes.","From the wing setup, the body drops into the duck on the first kick -- head low, shoulders compressed -- and stays low through the second kick's opposite-side outside reach. Recovery rises out of the duck as the clipper cross-body delay lands. The duck holds across both kicks, not just the opener.","The butterfly wing wants to lift the body -- practitioners with clean butterfly tend to come out of the duck on the second kick, which loses the modifier. Treat the duck as a frame the wing happens inside, not a beat before the wing begins.","Butterfly (3 ADD) is the foundation. The ducking bridge -- ducking-clipper (3 ADD, simplest base), ducking-osis (4 ADD, rotational stall), ducking-whirl (4 ADD, rotational), ducking-butterfly (this row) -- applies the same compression mechanic across four family bases. Hatchet (4 ADD, whirl + diving body modifier) is the cross-modifier sibling: dive extends forward, duck compresses down."
"ducking-osis","Ducking's compression carries through an osis-style inside-to-outside delay -- the body drops low as the bag descends through the stall sequence.","On the osis stall, the body compresses into a duck as the inside dex initiates; the rotation carries low across both kicks, with head and shoulders down through the cross-body delay. Recovery rises out of the duck as the bag settles into the final position.","Osis's stall posture wants a tall body; ducking-osis asks for the opposite. Practitioners with clean osis tend to keep the body upright through the rotation and add a duck at one endpoint. The compression must hold across both kicks -- it's a frame, not a beat.","Osis (3 ADD) is the rotational-stall foundation. The ducking bridge -- ducking-clipper (3 ADD, stationary), ducking-butterfly (4 ADD, wing-based), ducking-whirl (4 ADD, rotational), ducking-osis (this row, rotational stall) -- covers four base families. Blender (4 ADD, pilot) is the canonical Whirling Osis; this row stays on the osis base without the whirl modifier."
"ripwalk","A stepping butterfly compound -- the supporting foot relocates mid-trick as the body completes the butterfly's outside-wing motion.","The opening kick lands same-side outside in butterfly's wing pattern; mid-flight, the supporting foot taps or steps to a new position. The body continues through the wing while the planted leg has moved; the second kick reaches opposite-side outside with the body now over the relocated support; recovery lands in an opposite clipper cross-body delay.","The stepping action sits between the two kicks; stepping too early steals momentum from the first kick, stepping too late kills the wing transition. Treat the step as a beat within the wing motion, not a separate movement between kicks.","Butterfly (3 ADD) is the foundation. Stepping-whirl (4 ADD, pilot from SCALE-2) gives the foot-relocation feel on a rotational base; ripwalk is the butterfly-base appearance. The stepping bridge anchors this modifier across families."
"spinning-butterfly","Where spinning-whirl carries two rotations through, spinning-butterfly has only the body-spin axis riding on butterfly's wing pattern -- a single rotation overlaid on a non-rotational base.","An independent body-spin axis runs from the outset; the first kick opens same-side outside as the spin progresses, the second kick reaches opposite-side outside in the canonical butterfly wing motion as the spin completes. Recovery lands in an opposite clipper cross-body delay with the body unwound back to the supporting-leg anchor.","The spin and the wing tend to merge -- practitioners reach the wing position and let the body-spin trail along with it. Hold the spin as a distinct rotation through both kicks; the wing rides on the spin's frame, not the other way around.","Butterfly (3 ADD) is the wing foundation. Spinning-whirl (4 ADD, pilot from SCALE-2) demonstrates the dual-axis pattern when both the base AND the modifier are rotational; spinning-butterfly is the non-rotational sibling -- the wing pattern stays linear while the body-spin overlays it. Spinning-torque (5 ADD, this batch) extends the spinning + rotational-base pattern."
"paradox-drifter","Paradox direction commits across drifter's rotation-stall pairing -- the body resets to the same side at the clipper landing rather than continuing the natural rotational drift.","Set into clipper-stall, then drifter's miraging rotation initiates with a paradox commitment from the body -- same-side weight reset across the rotation, against the natural drift. The clipper landing accepts the bag with the body weight on the kicking-foot side; recovery holds the paradox commitment through the delay.","Drifter's natural rotation drifts the body opposite-side at landing; paradox asks for the opposite. Practitioners with clean drifter tend to let the rotation carry through and add a same-side body adjustment at recovery -- that's the wrong timing. The paradox commits during the rotation, not after.","Drifter (3 ADD, this batch) is the rotation-stall integration. Paradox on a non-rotational base -- paradox-mirage (3 ADD, this batch) -- gives the same-side body commitment on a simpler frame. Paradox-drifter completes the paradox bridge to the drifter family alongside paradox-whirl, paradox-blender, paradox-mirage."
"spinning-torque","Two body axes turn through the trick -- torque's own rotation and the spinning body-spin layered on top, kept distinct rather than stacked.","Torque's rotation begins through the kick sequence -- the body executes the canonical mirage-on-osis frame. Spinning adds an independent body-spin axis on top, orthogonal to torque's rotation. The two axes turn together; the kick lands as both rotations resolve. Recovery unwinds both axes to the supporting-leg anchor.","The torque already carries body rotation; spinning's instinct is to add more of the same rotation. Keep the body-spin axis distinct -- if the spin merges with torque's frame, the trick degenerates to a fast torque rather than gaining the spinning modifier. Two distinct rotations, one motion.","Torque (4 ADD) is the rotational frame. Spinning-whirl (4 ADD, pilot from SCALE-2) and spinning-butterfly (4 ADD, this batch) show the dual-axis pattern on whirl and on a non-rotational base. PassBack records this row under the alternate name 'Marius' -- spinning-torque is documented under both names."
