"slug","short_description","execution_summary","learning_notes","prerequisite_notes"
"around-the-world","Circle the leg around the bag in a full arc -- around-the-world is a leg-clearance trick where the supporting leg passes completely around the descending bag without contact.","As the bag descends, the supporting leg lifts and traces a full circle around it -- leg up, around, and back down -- without the foot or knee touching the bag. The body holds upright through the arc; the second leg remains planted as the kicking leg completes its circle. Recovery returns the lifted leg to support, with the bag continuing its fall to the landing position.","The leg-arc must clear the bag entirely -- a half-arc that brushes the bag reads as a failed attempt. Most misses come from rushing the arc and clipping the bag with the calf; widen the circle so the leg passes well outside the bag's vertical column.","Comfortable bag-control with the supporting leg lifted. Around-the-world is a 2-ADD foundation that anchors double-around-the-world (3 ADD) and other multi-circle variants."
"clipper-stall","The cross-body inside delay surface -- the foot crosses behind the supporting leg and settles flat to receive the bag on the instep.","Rotate the kicking foot inward; the foot crosses behind the supporting leg, presenting the instep as the bag's landing surface. The foot settles flat in cross-body position; the bag arrives onto the instep and stalls there. Recovery from a clipper means lifting the foot out of the crossed position back to neutral.","The cross-body angle is the load-bearing element -- the foot must rotate enough that the instep faces upward, not sideways. A common miss from inside-stall practice: under-rotating the cross, so the bag glances off the side of the foot instead of settling on the instep.","Inside-stall (1 ADD) gives the inside-of-foot landing surface; clipper-stall adds the cross-body rotation. Clipper-stall anchors the inside-delay surface used by drifter (rotational variant; SCALE-5 pilot), ducking-clipper (compression variant; SCALE-5 pilot), and 5 additional named compounds across the dictionary."
"legover","Leg-over dexterity -- the second leg passes over the supporting leg as the bag clears, returning to support on the original side.","The second leg lifts as the bag rises from a toe set, passing laterally over the supporting leg. The bag clears underneath the crossing leg; the crossing leg lands back on the original side, restoring the supporting position. The kick happens during the leg-pass -- the foot strikes the bag mid-crossover.","The leg-pass timing is the limiter -- too early and the bag hasn't risen enough for clearance; too late and the bag falls past the kick window. The crossing leg should pass over at the bag's apex, not before or after.","Toe-set dexterity and supporting-leg balance. Legover (2 ADD) is the foundation for eggbeater (3 ADD, illusion-modified; this batch), double-leg-over (3 ADD), magellan (3 ADD, pixie-modified; SCALE-5b pilot), pigbeater (4 ADD, pixie-eggbeater; SCALE-1 pilot), and flurry (4 ADD)."
"mirage","In-to-out toe-dex on the outside of the supporting leg -- the bag is set with a toe-kick, dex'd outside the planted leg, and recaught on the opposite toe.","Open with a toe-set; the kicking foot reaches outside the supporting leg and dex's the bag in an outward arc. The bag travels across the body's outside line; the opposite-side toe rises to catch the bag as it descends. Recovery returns to balanced stance with the bag stalled on the opposite toe.","The dex direction must clear the supporting leg -- a kick that goes too tight catches the supporting leg or drops the bag between legs. Widen the outward arc enough that the bag travels well outside the support's vertical line, then bring the opposite toe under it.","Comfortable toe-set kicking. Mirage (2 ADD) is the rotational foundation across the dictionary -- anchors paradox-mirage, symposium-mirage, smear, tap (3 ADD pilot rows), atom-smasher (4 ADD), and is the structural underpinning of drifter (= miraging clipper) and torque (= miraging osis)."
"butterfly","Butterfly's two-kick wing pattern -- a same-side outside dex followed by an opposite-side outside dex, the two kicks forming the trick's wing motion.","Both kicks reach outside the supporting leg -- the first same-side, the second opposite-side -- forming the trick's wing pattern after the toe set. The bag travels across the body line in the wing's outward arc, returning on the second kick. Recovery lands in an opposite clipper cross-body delay -- the bag arrives on the crossed instep as the body completes the wing.","The wing geometry is the trick -- both kicks must reach outside, not inside. The instinct from inside-dex compounds is to default the second kick inward; resist that. Keep both wings open and symmetric across the body.","Confident toe-set kicking and clipper-stall (2 ADD; this batch) as the landing surface. Butterfly (3 ADD) anchors 11 named compounds: dimwalk + ripwalk + tripwalk + parkwalk (4 ADD set-modifier variants), ducking-butterfly + spinning-butterfly + atomic-butterfly (4 ADD body/set modifier variants), bigwalk + sidewalk + matador + phoenix (5 ADD multi-modifier compounds)."
"eggbeater","Eggbeater extends legover with an illusion-style double-out kick pattern -- toe set, then two consecutive opposite-outside dex kicks before recovery.","The first kick after the toe set reaches opposite-side inside in legover's standard crossing motion; the body continues through, and the second kick lands opposite-side outside in the illusion's signature. The bag passes through three contact points -- toe set, first dex, second dex -- before settling on a same-side toe delay.","The transition from first kick to second kick is the trick's load-bearing junction. A common miss from clean legover habit: recovering after the first kick instead of continuing through to the second. The body should remain in legover position through both kicks; recovery comes after the delay landing, not between dex steps.","Legover (2 ADD; this batch) is the direct parent; eggbeater adds the illusion-style double-out pattern. Pigbeater (4 ADD, pixie-modified eggbeater; SCALE-1 pilot) directly extends this row by adding the pixie set modifier on the eggbeater frame."
"osis","Two stalls in one motion -- osis lands inside the supporting leg, then transitions to an outside-leg stall as the body rotates through.","The bag descends from a toe set as the body initiates a quarter-rotation. The first stall lands inside the supporting leg -- bag settles briefly on the inside of the supporting foot. The body continues rotating; the bag transitions onto the outside surface of the opposite foot for the second stall, completing the inside-to-outside delay combination.","The transition between the two stalls is the timing limiter -- too fast and the bag drops between surfaces; too slow and the body's rotation stalls out. Both stalls must register cleanly as separate contact points; if the bag merges them into one delay, the trick degenerates to a clipper-style single stall.","Inside-stall (1 ADD) and outside-stall (1 ADD) give the two landing surfaces separately. Osis (3 ADD) is the structural underpinning of blender (4 ADD; SCALE-3 pilot, transitively Whirling Osis) and torque (4 ADD; this batch, transitively Miraging Osis); higher osis-base compounds include ducking-osis (4 ADD; SCALE-5 pilot)."
"swirl","Where whirl rotates in the natural direction, swirl reverses it -- the body executes the rotational body-spin dex against the supporting-leg's natural arc.","Plant the supporting leg under the bag's descent line. The body initiates a reverse-direction rotation -- opposite the natural side the planted leg would carry. The kicking foot meets the bag at the strike point mid-spin; the rotation completes against natural drift, with the body resetting on the kicking-foot side.","The reverse direction is the trick -- most practitioners default to natural whirl direction and execute swirl as a fast whirl. Commit the rotation against the supporting leg's natural arc; the body should feel like it's spinning the wrong way through the kick.","Whirl (3 ADD; SCALE-2 pilot) is the natural-direction sibling. Swirl is the reverse-direction counterpart; both share the rotational dex geometry but flip the spin axis. Confident whirl execution is the entry."
"torque","Torque is the miraging-osis frame -- a rotational base built by composing osis's inside-to-outside delay with mirage's rotational dex into a single combined motion.","The body initiates a quarter-rotation as in osis, but the rotation carries mirage's outward dex into the inside-stall position. Where osis transitions inside-to-outside via two distinct stalls, torque integrates the mirage rotation across both -- the body spins through the inside stall, dex's outward via mirage's pattern, and lands on the outside stall as the rotation completes.","Torque's rotation must carry through both stalls -- if the body completes the rotation at the first stall, the mirage dex never lands and the trick reads as a clean osis. The mirage rotation is what makes torque a 4-ADD compound rather than 3-ADD osis; commit the rotation across both stall surfaces.","Osis (3 ADD; this batch) is the two-stall combination; mirage (2 ADD; this batch) is the rotational dex. Torque combines both into one motion. Higher torque compounds include spinal-tap (5 ADD, tapping; SCALE-1 pilot), paradox-torque (5 ADD; SCALE-5b pilot), spinning-torque (5 ADD; SCALE-5 pilot), and gauntlet (7 ADD, this batch -- flagship density)."
"gauntlet","Three body modifiers on the torque base -- gauntlet is the dictionary's second flagship-density row alongside Montage, layering stepping + ducking + paradox across torque's rotational frame.","Torque's rotation initiates from the toe set -- body executes the miraging-osis frame. As the rotation builds, the supporting foot steps to a new position (stepping); the body simultaneously drops into a duck compression (ducking) and commits same-side direction across the kick (paradox). All three modifiers ride the torque rotation; the kick lands as the body completes the rotation in the relocated stance, with the paradox commitment holding through to the cross-body delay landing.","Three body modifiers active on one rotation is the load-bearing complexity -- each constituent must be solo before attempting gauntlet. The stepping is what makes gauntlet distinctive among 7-ADD compounds: most flagship-density rows hold the supporting foot planted; gauntlet relocates it mid-rotation. Cascading failure is common -- if any constituent modifier collapses, the others typically collapse with it.","Torque (4 ADD; this batch) is the rotational frame. The constituent modifier-on-torque compounds -- paradox-torque (5 ADD; SCALE-5b pilot), spinning-torque (5 ADD; SCALE-5 pilot; spinning not stepping but adjacent), grave-digger (5 ADD, stepping + torque; not yet pilot) -- should be reliable before gauntlet. Montage (7 ADD; original pilot; 4-modifier whirl-family flagship) is the cross-family sibling: both activate the modifier-layering panel via 3+ modifier links."
