"slug","short_description","execution_summary","learning_notes","prerequisite_notes"
"tap","A 3-ADD mirage compound where the tapping body action adds an extra accent between the two dex kicks of the mirage frame.","From a toe set, drive an opposite-side outside dex, then bring the body across for a same-side inside dex; finish on an opposite-side toe delay. The tapping action lives between the two dex strikes -- a brief foot-tap on the supporting leg that resets body rhythm before the second kick.","The tap itself is rhythmic, not athletic -- it should feel like a hesitation, not an extra step. Practitioners who reach tap after a heavier-feeling 3-ADD mirage compound (smear, paradox-mirage) tend to over-commit the tap; treat it as a beat, not a body movement.","Comfortable mirage (2 ADD) is the entry. Same-tier siblings include smear (pixie-mirage), paradox-mirage, and symposium-mirage -- all 3-ADD mirage compounds layering a single modifier onto the same rotational base."
"legeater","A 3-ADD pickup compound where the first dex strikes opposite-side inside before continuing into the standard pickup rhythm.","From a toe set, the first kick comes opposite-inside and crosses through the supporting leg; the second kick continues opposite-inside before the body shifts back for a same-side toe delay. Two consecutive opposite-side dexes is the trick's distinguishing feature -- the body holds across the support longer than in paste or scrambled-eggbeater.","The trap is the second kick: practitioners reaching across for the first opposite-inside dex tend to return the body to neutral before the second, which kills the rhythm. Hold body weight off the support across both kicks; reset only after the second dex lands.","Pickup (2 ADD) establishes the set + dex + stall frame. Same-tier pickup siblings -- paste, scrambled-eggbeater, and omelette -- share the frame and differ only in the first kick variant; practicing one carries over to the others."
"paste","A 3-ADD pickup compound opening with a same-side inside dex -- the pixie set carries the bag behind the planted leg before the standard pickup follow-through.","From a toe set, the first kick strikes same-side inside, which sends the bag behind the supporting leg. The body opens for an opposite-side inside dex on the second kick, then closes with a same-side toe delay. The pixie set is the load-bearing element -- the same-inside angle differentiates paste from legeater (opposite-inside) and scrambled-eggbeater (opposite-outside).","The same-inside first kick is closer to the body than the other pickup variants -- most misses come from over-rotating the foot, which sends the bag too far behind. Keep the first kick compact; body rotation on the opener should be minimal.","Pickup (2 ADD) is the foundation. Familiarity with any pixie compound -- smear (pixie-mirage, 3 ADD) or dimwalk (pixie-butterfly, 4 ADD) -- primes the same-inside set feel before the pickup variant lands."
"scrambled-eggbeater","A 3-ADD pickup compound that opens with an opposite-side outside dex -- the atomic set creates a wider first kick than its same-tier pickup siblings.","From a toe set, the first kick reaches opposite-side outside, the widest first kick of the pickup-family compounds. The body settles back across for an opposite-side inside dex, then closes with a same-side toe delay. The atomic set's signature is the outside reach on the first kick -- paste goes same-inside, legeater opposite-inside, scrambled-eggbeater opposite-outside.","The first kick's reach is the limiter -- going too wide pulls the body off-axis before the second kick can settle. Keep the outside reach controlled; the opener should clear the support without overshooting.","Pickup (2 ADD) is the entry. Atomic on a wider base -- atom-smasher (atomic-mirage, 4 ADD) or atomic-butterfly (4 ADD) -- gives the modifier its own feel before the pickup compound layers it in."
"hatchet","A 4-ADD whirl compound where the body dives head-low through the rotation before recovering into a cross-body clipper.","From a clipper set, the body drops into a forward dive as the bag rises -- head and shoulders descend while the supporting leg holds the rotation axis. The same-side front whirl carries the bag around the planted leg, landing in an opposite-side clipper cross-body. The dive is the trick's signature: a body extension across the rotation, not a compression like ducking.","The dive timing is the limiter -- too early and the body's already low when the whirl starts, killing the rotation; too late and the bag escapes the whirl window. Treat the dive as a forward lean that begins on the set's rise and bottoms out as the whirl peaks.","Whirl (3 ADD) is the foundation. Diving on a separate base -- diving-butterfly (4 ADD) -- gives the modifier's feel before the whirl rotation layers it in. Ducking-whirl (4 ADD) is the closest same-tier sibling for body-modifier comparison."
"tripwalk","A 4-ADD butterfly compound where the quantum set opens with an opposite-side inside dex before the standard butterfly outside-wing closes the trick.","From a toe set, the first kick strikes opposite-side inside -- a tight kick that crosses the body line before the wing opens. The second kick reaches opposite-side outside in the canonical butterfly wing motion, landing in an opposite-side clipper cross-body delay. Quantum's first-kick angle is the differentiator: it pulls the body across before the wing rather than after.","The cross-body opening on the first kick is unfamiliar to practitioners coming from canonical butterflies -- the wing instinct kicks in too early, which overshoots the first dex. Resist the wing impulse on the opener; hold the body tight, then release on the second kick.","Butterfly (3 ADD) is the foundation. Same-tier siblings -- atomic-butterfly, dimwalk (pixie-butterfly), ducking-butterfly, and ripwalk -- each layer a different set or body modifier onto butterfly; studying any of the 4-ADD butterfly cohort carries over."
"pigbeater","A 4-ADD legover compound -- eggbeater's three-kick pattern fronted by a pixie set that lifts the bag behind the planted leg.","From a toe set, the first kick strikes same-side inside, sending the bag behind the supporting leg -- the pixie signature. The next two kicks both reach opposite-outside in eggbeater's characteristic double-out pattern, then the body resets for a same-side toe delay. The pixie set is the only addition over eggbeater -- the rest of the trick is the eggbeater motion intact.","The transition from pixie's same-inside opener to eggbeater's opposite-outside second kick is the body's biggest shift in the trick. Practitioners who learn pigbeater before eggbeater feels solid tend to lose the second kick -- settle eggbeater first, then add the pixie set on top.","Eggbeater (3 ADD) is the direct parent -- pigbeater is the same trick with one extra set modifier. Smear (pixie-mirage, 3 ADD) and dimwalk (pixie-butterfly, 4 ADD) offer pixie practice on simpler bases."
"spinal-tap","A 5-ADD torque compound -- the tap rhythm from the mirage family extended through a body-spin and cross-body clipper landing.","From a toe set, the first kick drives opposite-outside while the body initiates rotation. The same-inside second kick lands as the body completes a front-facing spin, then the supporting leg crosses for an opposite-clipper delay. Torque's body-spin is the load-bearing structure -- the tap-rhythm of the two dexes overlays the rotation rather than sitting between them.","The rotation must be committed before the first kick lands -- practitioners who learn tap before torque tend to delay the spin until after the dexes, which kills the timing. Treat the body-spin as the trick's core motion; the dexes ride on it.","Torque (4 ADD) carries the body-spin signature. Tap (mirage + tapping, 3 ADD) demonstrates the tap rhythm without rotation; practicing both before spinal-tap lets the two layers integrate naturally."
"phoenix","A 5-ADD butterfly compound -- pixie's same-inside opening, a ducking body compression, then the butterfly wing closing into a cross-body clipper.","From a toe set, the first kick strikes same-side inside (pixie); the body then drops into a ducking compression, holding low as the second kick reaches opposite-outside in the canonical butterfly wing. Recovery is an opposite-clipper cross-body delay. The ducking sits in the gap between the two dexes -- body low through the transition, rising into the wing.","Ducking between dexes is what makes phoenix harder than 4-ADD butterflies -- the duck must be deep enough to feel committed but quick enough to release before the wing. Most misses come from rushing the wing while still low; let the body rise on the second kick rather than driving it from a compressed position.","Butterfly (3 ADD) and either ducking-butterfly or dimwalk (pixie-butterfly), both 4 ADD, cover the modifier feel separately before they combine. Matador (5 ADD, butterfly family) is the same-tier sibling -- both layer two modifiers onto butterfly with different body/set splits."
"spender","A 6-ADD blender compound -- two body-spins flanking a paradox-direction whirl kick, landing in a cross-body clipper.","From a clipper set, the body initiates a back-facing spin. As the spin completes, the opposite-side front-whirl kick lands with paradox direction -- a same-side body reset across the kick. A second back-spin carries the body around again before the supporting leg crosses for a same-side clipper delay. The two body-spins are the trick's frame; the whirl kick is the centerpiece they're built around.","Pairs naturally with mind-bender -- both are 6-ADD blender compounds carrying paradox, framing a paradox whirl kick with a second body modifier. Spender's spinning gives the trick continuous rotation; mind-bender's ducking gives it a compression-and-release rhythm. Study the two side-by-side for body-modifier feel.","Blender (4 ADD) and paradox-blender (5 ADD) are the direct progression. Spinning-whirl (4 ADD) gives the spinning-on-rotational-base feel. Mind-bender is the natural same-tier sibling to study alongside."
